source,target,value,level
Dimension (graph theory),Specular reflection,1,2
Chromatic scale,Motion (physics),1,2
Dimension (graph theory),Rendering (computer graphics),1,2
Contrast (vision),Motion (physics),1,2
Luminance,Motion (physics),1,2
Dimension (graph theory),Shading,1,2
Point (geometry),Exploit,1,2
Algebra over a field,Grid,1,2
Algebra over a field,Piecewise,1,2
sort,Learnability,1,2
External Data Representation,Grid,1,2
Image (mathematics),Byte,1,2
Image (mathematics),Variety (cybernetics),1,2
Image (mathematics),Vendor,1,2
Task (project management),Suite,1,2
Task (project management),Byte,1,2
Task (project management),Vendor,1,2
Morphing,Riemann surface,1,2
sort,Monotonic function,1,2
Bar chart,Reuse,1,2
Feature learning,Visualization,1,2
Feature learning,Graph,1,2
File format,Suite,1,2
File format,Byte,1,2
File format,Variety (cybernetics),1,2
File format,Vendor,1,2
Image (mathematics),Suite,1,2
Software,Vendor,1,2
Software,Byte,1,2
Byte,Suite,1,2
External Data Representation,Piecewise,1,2
External Data Representation,Field (mathematics),1,2
External Data Representation,Visualization,1,2
External Data Representation,Algebra over a field,1,2
Presentation (obstetrics),Tree (set theory),1,2
Presentation (obstetrics),Data structure,1,2
Surface (topology),Riemann surface,1,2
Visualization,Vendor,1,2
Variety (cybernetics),Byte,1,2
Set (abstract data type),Reuse,1,2
Vendor,Suite,1,2
Vendor,Byte,1,2
Vendor,Variety (cybernetics),1,2
Visualization,Byte,1,2
sort,Interpretability,1,2
Specular reflection,Exploit,1,2
Fractal,Scale (ratio),1,2
Channel (broadcasting),Stage (stratigraphy),1,2
Abstraction,Vector field,1,2
Ranking (information retrieval),Sorting,1,2
Ranking (information retrieval),Interpretability,1,2
Abstraction,Euclidean vector,1,2
Visualization,Point spread function,1,2
Abstraction,Field (mathematics),1,2
Abstraction,Ellipsoid,1,2
Bay,Stage (stratigraphy),1,2
Scale (ratio),Stage (stratigraphy),1,2
Scale (ratio),Bay,1,2
Visualization,Stage (stratigraphy),1,2
Visualization,Bay,1,2
Hydraulics,Stage (stratigraphy),1,2
Hydraulics,Bay,1,2
Hydraulics,Scale (ratio),1,2
Abstraction,Computational geometry,1,2
Abstraction,Computational fluid dynamics,1,2
Tomography,Orientation (vector space),1,2
Ellipsoid,Computational geometry,1,2
Monotonic function,Learnability,1,2
Vector field,Computational geometry,1,2
Euclidean vector,Computational geometry,1,2
Kernel (algebra),Point spread function,1,2
Field (mathematics),Computational geometry,1,2
Ellipsoid,Computational fluid dynamics,1,2
Kernel (algebra),Blood vessel,1,2
Tomography,Blood vessel,1,2
Ellipsoid,Vector field,1,2
Ellipsoid,Euclidean vector,1,2
Kernel (algebra),Orientation (vector space),1,2
Tomography,Scanner,1,2
Ellipsoid,Field (mathematics),1,2
Tomography,Point spread function,1,2
Ranking (information retrieval),Learnability,1,2
Channel (broadcasting),Bay,1,2
sort,Sorting,1,2
Channel (broadcasting),Scale (ratio),1,2
Visualization,Underwater,1,2
Workstation,Megabit,1,2
Visualization,Megabit,1,2
Bandwidth (computing),Megabit,1,2
Bandwidth (computing),Workstation,1,2
Local area network,Megabit,1,2
Local area network,Workstation,1,2
Local area network,Visualization,1,2
Local area network,Bandwidth (computing),1,2
Supercomputer,Megabit,1,2
Supercomputer,Local area network,1,2
IBM,Coding (social sciences),1,2
Point spread function,Blood vessel,1,2
Scale (ratio),Measure (data warehouse),1,2
Fractal,Measure (data warehouse),1,2
Visualization,Supercomputer,1,2
Scanner,Orientation (vector space),1,2
Scanner,Blood vessel,1,2
Decision support system,Base (topology),1,2
Channel (broadcasting),Hydraulics,1,2
Process (computing),Environmental data,1,2
Base (topology),Environmental data,1,2
Base (topology),Process (computing),1,2
Scanner,Point spread function,1,2
Decision support system,Environmental data,1,2
Cursor (databases),CAD,1,2
Underwater,Supercomputer,1,2
Rendering (computer graphics),CAD,1,2
Rendering (computer graphics),Cursor (databases),1,2
Ranking (information retrieval),Monotonic function,1,2
Infographic,Reuse,1,2
Visualization,Cursor (databases),1,2
Field (mathematics),Supercomputer,1,2
File format,Visualization,1,2
File format,Image (mathematics),1,2
Kernel (algebra),Scanner,1,2
Pattern recognition (psychology),Color vision,1,2
CUDA,Polygon mesh,1,2
Smoothing,Surface finish,1,2
Line (geometry),Grid,1,2
Smoothing,Surface roughness,1,2
Neuron,Scalability,1,2
Euclidean vector,Orientation (vector space),1,2
Neuron,Pattern recognition (psychology),1,2
Euclidean vector,Line (geometry),1,2
CUDA,Bilinear interpolation,1,2
Direction vector,Orientation (vector space),1,2
CUDA,Tree traversal,1,2
Fractal,Filter (signal processing),1,2
Direction vector,Line (geometry),1,2
Fractal,Surface finish,1,2
Fractal,Curvature,1,2
Perception,Color vision,1,2
Range (aeronautics),Filter (signal processing),1,2
File format,Task (project management),1,2
Range (aeronautics),Focus (optics),1,2
Ray tracing (physics),Vector field,1,2
Artificial neural network,Embedding,1,2
Planar,Polygon mesh,1,2
Tracing,Animation,1,2
Perception,Medical imaging,1,2
Cluster analysis,Neuron,1,2
Tomography,Medical imaging,1,2
Planar,Quadratic equation,1,2
Focus (optics),Sequence (biology),1,2
Filter (signal processing),Sequence (biology),1,2
Neuron,Automatic summarization,1,2
Polygon mesh,Quadratic equation,1,2
Smoothing,Filter (signal processing),1,2
Range (aeronautics),Sequence (biology),1,2
Neuron,Embedding,1,2
Fractal,Surface roughness,1,2
Direction vector,Visualization,1,2
Bar chart,Gray (unit),1,2
Scale (ratio),Gray (unit),1,2
Visualization,Syntax,1,2
Parallelepiped,Sequence (biology),1,2
Parallelepiped,Syntax,1,2
Tracing,Polygon mesh,1,2
Tracing,Bilinear interpolation,1,2
Parallelepiped,Pairwise comparison,1,2
Parallelepiped,Depiction,1,2
Tracing,CUDA,1,2
Parallelepiped,Visualization,1,2
Dimension (graph theory),Sequence (biology),1,2
Dimension (graph theory),Syntax,1,2
Dimension (graph theory),Depiction,1,2
Dimension (graph theory),Parallelepiped,1,2
Filter (signal processing),Surface roughness,1,2
Surface finish,Curvature,1,2
Depiction,Pairwise comparison,1,2
Depiction,Syntax,1,2
Depiction,Sequence (biology),1,2
Tile,Scale (ratio),1,2
Scale (ratio),Bar chart,1,2
Automatic summarization,Embedding,1,2
Visualization,Gray (unit),1,2
Filter (signal processing),Surface finish,1,2
Tile,Gray (unit),1,2
Tile,Bar chart,1,2
Tile,Visualization,1,2
Pairwise comparison,Syntax,1,2
Pie chart,Gray (unit),1,2
Pie chart,Scale (ratio),1,2
Filter (signal processing),Curvature,1,2
Pie chart,Tile,1,2
Syntax,Sequence (biology),1,2
Pairwise comparison,Sequence (biology),1,2
Artificial neural network,Neuron,1,2
Rendering (computer graphics),Quadratic equation,1,2
Motion estimation,Pixel,1,2
Exploratory search,Process (computing),1,2
Instrumentation (computer programming),Graphical user interface,1,2
Instrumentation (computer programming),User interface,1,2
Spacetime,Polygon mesh,1,2
Artificial neural network,Cluster analysis,1,2
Window (computing),Debugging,1,2
Window (computing),User interface,1,2
Spacetime,Pixel,1,2
Spacetime,Finite element method,1,2
Window (computing),Instrumentation (computer programming),1,2
Pixel,Finite element method,1,2
Graphics,Instrumentation (computer programming),1,2
Function (biology),Proteome,1,2
Function (biology),Context (archaeology),1,2
Exploratory data analysis,Variety (cybernetics),1,2
Exploratory search,Variety (cybernetics),1,2
Metric (unit),Tensor (intrinsic definition),1,2
Instrumentation (computer programming),Debugging,1,2
Instrumentation (computer programming),Computer graphics,1,2
Raster graphics,Simplicity,1,2
System integration,Visualization,1,2
System integration,Software,1,2
System integration,Point (geometry),1,2
Component (thermodynamics),Software,1,2
Component (thermodynamics),Point (geometry),1,2
Component (thermodynamics),System integration,1,2
Scalable Vector Graphics,Simplicity,1,2
Graphical user interface,Debugging,1,2
Scalable Vector Graphics,Raster graphics,1,2
Riemann surface,Topology (electrical circuits),1,2
Texture mapping,Simplicity,1,2
Texture mapping,Raster graphics,1,2
Texture mapping,Scalable Vector Graphics,1,2
Eigenvalues and eigenvectors,Metric (unit),1,2
Exploratory search,Exploratory data analysis,1,2
Curse of dimensionality,Exploratory search,1,2
Shading,Data set,1,2
Exploratory research,Variety (cybernetics),1,2
Smoothing,Computational geometry,1,2
Point cloud,Volume (thermodynamics),1,2
Rendering (computer graphics),Data set,1,2
Ultrasound,Medical imaging,1,2
Rendering (computer graphics),Ultrasound,1,2
Projection (relational algebra),Ultrasound,1,2
Point cloud,Computational geometry,1,2
Graphics,Smoothing,1,2
Visualization,Ultrasound,1,2
Graphics,Motion estimation,1,2
Shading,Medical imaging,1,2
Shading,Ultrasound,1,2
Smoothing,Motion estimation,1,2
Smoothing,Pixel,1,2
Shading,Projection (relational algebra),1,2
Voxel,Constructive solid geometry,1,2
Smoothing,Polygon mesh,1,2
Tracing,Constructive solid geometry,1,2
Bilinear interpolation,Polygon mesh,1,2
Exploratory research,Exploratory search,1,2
Exploratory research,Curse of dimensionality,1,2
User interface,Volume (thermodynamics),1,2
Supercomputer,Volume (thermodynamics),1,2
Supercomputer,User interface,1,2
Subdivision,Ray tracing (physics),1,2
Point (geometry),Smoothing,1,2
Tracing,Raster graphics,1,2
Constructive solid geometry,Raster graphics,1,2
Tree traversal,Bilinear interpolation,1,2
Constructive solid geometry,Rendering (computer graphics),1,2
Constructive solid geometry,Ray tracing (physics),1,2
Smoothing,Point cloud,1,2
Constructive solid geometry,Visualization,1,2
IBM,Research center,1,2
Kernel (algebra),Tomography,1,2
Illusion,Cognition,1,2
MIMD,Variety (cybernetics),1,2
Artifact (error),Variety (cybernetics),1,2
Artifact (error),MIMD,1,2
Animation,Asynchronous communication,1,2
Emotive,Context (archaeology),1,2
Animation,MIMD,1,2
Animation,Artifact (error),1,2
Programmer,Asynchronous communication,1,2
Software,Manifold (fluid mechanics),1,2
Emotive,Congruence (geometry),1,2
Visualization,Congruence (geometry),1,2
Programmer,Artifact (error),1,2
Software,Piecewise linear function,1,2
Visualization,Emotive,1,2
Computation,Asynchronous communication,1,2
Computation,MIMD,1,2
Artifact (error),Asynchronous communication,1,2
MIMD,Asynchronous communication,1,2
Scientific literature,Variety (cybernetics),1,2
Variety (cybernetics),Asynchronous communication,1,2
Rake,Tangent,1,2
Congruence (geometry),Context (archaeology),1,2
Rake,Vector field,1,2
Piecewise,Cubic crystal system,1,2
Rake,Surface (topology),1,2
"Streamlines, streaklines, and pathlines",Tangent,1,2
Emotive,Perception,1,2
"Streamlines, streaklines, and pathlines",Rake,1,2
Discretization,Tangent,1,2
Fourier transform,Cubic crystal system,1,2
Discretization,Rake,1,2
Discretization,"Streamlines, streaklines, and pathlines",1,2
Rendering (computer graphics),Haze,1,2
Advection,Haze,1,2
Advection,Rendering (computer graphics),1,2
Computation,Artifact (error),1,2
Computation,Programmer,1,2
Graphical user interface,Query language,1,2
Syntax,Query language,1,2
Component (thermodynamics),Interoperability,1,2
Source code,Software,1,2
Profiling (computer programming),Software,1,2
Profiling (computer programming),Source code,1,2
Scripting language,Computer graphics,1,2
Software,Piecewise,1,2
Software,Riemannian manifold,1,2
Software,Function (biology),1,2
Manifold (fluid mechanics),Computation,1,2
Manifold (fluid mechanics),Piecewise linear function,1,2
Object-oriented programming,Computer graphics,1,2
Object-oriented programming,Scripting language,1,2
Object-oriented programming,User interface,1,2
Manifold (fluid mechanics),Set (abstract data type),1,2
Graphics,Scripting language,1,2
Component (thermodynamics),User interface,1,2
Component (thermodynamics),State (computer science),1,2
Component (thermodynamics),Visual language,1,2
Query optimization,Graphical user interface,1,2
Syntax,Graphical user interface,1,2
Relational database,Query language,1,2
Relational database,Syntax,1,2
Natural language,Graphical user interface,1,2
Natural language,Syntax,1,2
Natural language,Relational database,1,2
Query optimization,Syntax,1,2
Interoperability,User interface,1,2
Query optimization,Relational database,1,2
State (computer science),Visual language,1,2
User interface,Visual language,1,2
User interface,State (computer science),1,2
Interoperability,Visual language,1,2
Interoperability,State (computer science),1,2
Congruence (geometry),Perception,1,2
Dynamics (music),Visualization,1,2
Dynamics (music),Mixing (physics),1,2
Data structure,Type (biology),1,2
Query optimization,Computational complexity theory,1,2
Query optimization,Maxima and minima,1,2
Illusion,Set (abstract data type),1,2
Illusion,Visualization,1,2
Projection (relational algebra),Piecewise linear function,1,2
Query optimization,Computational geometry,1,2
Query optimization,Data structure,1,2
Query optimization,Volume (thermodynamics),1,2
Query optimization,Heap (data structure),1,2
Query optimization,Range (aeronautics),1,2
Data type,Computer graphics,1,2
Graphical user interface,Data type,1,2
Type (biology),Computer graphics,1,2
Type (biology),Data type,1,2
Type (biology),Graphical user interface,1,2
Projection (relational algebra),Lattice (music),1,2
Query optimization,Preprocessor,1,2
Range (aeronautics),Heap (data structure),1,2
Heap (data structure),Maxima and minima,1,2
Volume (thermodynamics),Computational complexity theory,1,2
Volume (thermodynamics),Maxima and minima,1,2
Deep learning,Segmentation,1,2
Heap (data structure),Preprocessor,1,2
Heap (data structure),Computational complexity theory,1,2
Point (geometry),Pie chart,1,2
Heap (data structure),Set (abstract data type),1,2
Range (aeronautics),Computational geometry,1,2
Heap (data structure),Computational geometry,1,2
Heap (data structure),Data structure,1,2
Heap (data structure),Volume (thermodynamics),1,2
Range (aeronautics),Preprocessor,1,2
Range (aeronautics),Computational complexity theory,1,2
Range (aeronautics),Maxima and minima,1,2
Projection (relational algebra),Piecewise,1,2
Projection (relational algebra),Fourier transform,1,2
Dynamics (music),Animation,1,2
Visualization,Type (biology),1,2
Affine transformation,Space partitioning,1,2
Clipping (morphology),Quadtree,1,2
Clipping (morphology),Pixel,1,2
Piecewise linear function,Fourier transform,1,2
Clipping (morphology),Tree (set theory),1,2
Clipping (morphology),Space partitioning,1,2
Clipping (morphology),Affine transformation,1,2
Traverse,Airflow,1,2
Piecewise linear function,Cubic crystal system,1,2
Mixing (physics),Flow (mathematics),1,2
Mixing (physics),Topology (electrical circuits),1,2
Mixing (physics),Animation,1,2
Piecewise,Fourier transform,1,2
Dynamics (music),Flow (mathematics),1,2
Dynamics (music),Topology (electrical circuits),1,2
Lattice (music),Cubic crystal system,1,2
Affine transformation,Tree (set theory),1,2
Affine transformation,Pixel,1,2
Scalar (mathematics),Type (biology),1,2
Graphics,Data type,1,2
Graphics,Type (biology),1,2
Scalar (mathematics),Data type,1,2
Projection (relational algebra),Cubic crystal system,1,2
Scalar (mathematics),Graphical user interface,1,2
Lattice (music),Piecewise linear function,1,2
Scalar (mathematics),Data structure,1,2
Affine transformation,Quadtree,1,2
Lattice (music),Piecewise,1,2
Tree (set theory),Quadtree,1,2
Tree (set theory),Pixel,1,2
Lattice (music),Fourier transform,1,2
Space partitioning,Quadtree,1,2
Space partitioning,Pixel,1,2
Scientific literature,Computer graphics,1,2
Scientific literature,Focus (optics),1,2
IBM,Watson,1,2
Grid,CAD,1,2
Animation,CAD,1,2
Interactive design,CAD,1,2
Interactive design,Grid,1,2
Interpretability,Sorting,1,2
Pie chart,Reuse,1,2
Augmented reality,User interface,1,2
Interactive design,Simple (philosophy),1,2
Learnability,Sorting,1,2
Learnability,Interpretability,1,2
Interactive design,Animation,1,2
Scale (ratio),CAD,1,2
Monotonic function,Sorting,1,2
Scale (ratio),Simple (philosophy),1,2
Scale (ratio),Interactive design,1,2
Computer Aided Design,Grid,1,2
Simple (philosophy),CAD,1,2
Range (aeronautics),Vector space,1,2
Graphics,Scientific literature,1,2
Supercomputer,SIMD,1,2
Pyramid (geometry),Triangulation,1,2
Piecewise,Riemannian manifold,1,2
Point (geometry),Reuse,1,2
Pyramid (geometry),Surface (topology),1,2
Projection (relational algebra),Workstation,1,2
Terrain,Workstation,1,2
Terrain,Projection (relational algebra),1,2
Piecewise,Function (biology),1,2
Set (abstract data type),Riemannian manifold,1,2
Riemannian manifold,Function (biology),1,2
Adjacency list,Graph,1,2
Voxel,Software,1,2
Rendering (computer graphics),SIMD,1,2
Visualization,SIMD,1,2
Terrain,SIMD,1,2
Computer Aided Design,Simple (philosophy),1,2
Computer Aided Design,Animation,1,2
Computer Aided Design,Interactive design,1,2
Computer Aided Design,Scale (ratio),1,2
Virtual reality,Python (programming language),1,2
Identification (biology),Instrumentation (computer programming),1,2
Frequency domain,Filter (signal processing),1,2
Identification (biology),Software,1,2
Seafloor spreading,Satellite,1,2
Frequency domain,Resampling,1,2
Watson,Atmospheric research,1,2
Visualization,Atmospheric research,1,2
Visualization,Watson,1,2
Volume (thermodynamics),Resampling,1,2
Research center,Atmospheric research,1,2
Research center,Watson,1,2
Research center,Visualization,1,2
Filter (signal processing),Resampling,1,2
IBM,Atmospheric research,1,2
Identification (biology),Workstation,1,2
Identification (biology),Resource (disambiguation),1,2
Software,Instrumentation (computer programming),1,2
Field (mathematics),Thorax (insect anatomy),1,2
Monotonic function,Interpretability,1,2
Infographic,Set (abstract data type),1,2
Augmented reality,Python (programming language),1,2
Visualization,Neutron,1,2
Visualization,Biological anthropology,1,2
Thorax (insect anatomy),Computer graphics,1,2
Visualization,Thorax (insect anatomy),1,2
Software,Resource (disambiguation),1,2
Software,Thorax (insect anatomy),1,2
Graphics,Thorax (insect anatomy),1,2
Workstation,Resource (disambiguation),1,2
Instrumentation (computer programming),Resource (disambiguation),1,2
User interface,Python (programming language),1,2
Instrumentation (computer programming),Workstation,1,2
Piecewise linear function,Function (biology),1,2
Pyramid (geometry),Ridge,1,2
Pyramid (geometry),Curvature,1,2
User interface,Document retrieval,1,2
Automotive industry,Logarithm,1,2
Surface (topology),Logarithm,1,2
Surface (topology),Automotive industry,1,2
Point (geometry),Infographic,1,2
Point (geometry),Chart,1,2
Scale (ratio),Automotive industry,1,2
Sensitivity (control systems),Animation,1,2
Fuzzy logic,Animation,1,2
Fuzzy logic,Sensitivity (control systems),1,2
Document retrieval,Space (punctuation),1,2
Graphical user interface,Document retrieval,1,2
Information space,Document retrieval,1,2
Information space,Graphical user interface,1,2
Feature (linguistics),Document retrieval,1,2
Feature (linguistics),Graphical user interface,1,2
Automotive industry,Set (abstract data type),1,2
Manifold (fluid mechanics),Riemannian manifold,1,2
Automotive industry,Curvature,1,2
Usability,Reuse,1,2
Interpreter,Reuse,1,2
Extensibility,Reuse,1,2
Extensibility,Interpreter,1,2
Class (philosophy),Interpreter,1,2
Class (philosophy),Extensibility,1,2
Categorical variable,Congruence (geometry),1,2
Usability,Interpreter,1,2
Logarithm,Set (abstract data type),1,2
Usability,Class (philosophy),1,2
Hierarchy,Reuse,1,2
Hierarchy,Interpreter,1,2
Hierarchy,Extensibility,1,2
Hierarchy,Class (philosophy),1,2
Logarithm,Curvature,1,2
Feature (linguistics),Information space,1,2
User interface,Information space,1,2
Pyramid (geometry),Topology (electrical circuits),1,2
User interface,Feature (linguistics),1,2
Polygon mesh,Context (archaeology),1,2
Point (geometry),Bar chart,1,2
Computation,Piecewise linear function,1,2
Computation,Riemannian manifold,1,2
Computation,Function (biology),1,2
Range (aeronautics),Word (group theory),1,2
Nonlinear system,Finite element method,1,2
Range (aeronautics),Workflow,1,2
Piecewise linear function,Riemannian manifold,1,2
Nonlinear system,Animation,1,2
Nonlinear system,Polygon mesh,1,2
Nonlinear system,Computation,1,2
Ridge,Topology (electrical circuits),1,2
Ridge,Curvature,1,2
Triangulation,Curvature,1,2
Range (aeronautics),Embedding,1,2
Animation,Surface (topology),1,2
Vector space,Workflow,1,2
General relativity,Rendering (computer graphics),1,2
Visualization,Document retrieval,1,2
Manifold (fluid mechanics),Function (biology),1,2
Arity,Visual language,1,2
Arity,Visualization,1,2
Categorical variable,Emotive,1,2
Workflow,Word (group theory),1,2
General relativity,Geodesic,1,2
Field (mathematics),Matrix (chemical analysis),1,2
Vector space,Word (group theory),1,2
Spacetime,Geodesic,1,2
Process (computing),Image warping,1,2
Process (computing),Volume (thermodynamics),1,2
Process (computing),Dynamic time warping,1,2
Vector field,Matrix (chemical analysis),1,2
Supercomputer,Modular design,1,2
Embedding,Uniqueness,1,2
Compass,Visualization,1,2
Scatter plot,Mass spectrometry,1,2
Expression (computer science),Visualization,1,2
Data analysis,Expression (computer science),1,2
Mass spectrometry,Function (biology),1,2
Plot (graphics),Function (biology),1,2
Plot (graphics),Mass spectrometry,1,2
Flicker,Millisecond,1,2
Scatter plot,Function (biology),1,2
Scatter plot,Visualization,1,2
Customer satisfaction,Weighting,1,2
Cluster analysis,Mass spectrometry,1,2
Workflow,Function (biology),1,2
Workflow,Mass spectrometry,1,2
Workflow,Plot (graphics),1,2
Workflow,Scatter plot,1,2
Exploit,Analytics,1,2
Crossover,Analytics,1,2
Embodied energy,Nexus (standard),1,2
Expression (computer science),Domain (mathematical analysis),1,2
Expression (computer science),Analytics,1,2
Scatter plot,Projection (relational algebra),1,2
Customer satisfaction,Feature (linguistics),1,2
Customer satisfaction,Customer relationship management,1,2
Service (business),Sentiment analysis,1,2
Service (business),Weighting,1,2
Service (business),Product (mathematics),1,2
Service (business),Feature (linguistics),1,2
Service (business),Customer relationship management,1,2
Service (business),Customer satisfaction,1,2
Plot (graphics),Space (punctuation),1,2
Perspective (graphical),Plot (graphics),1,2
Field (mathematics),Plot (graphics),1,2
Projection (relational algebra),Plot (graphics),1,2
Scatter plot,Space (punctuation),1,2
Scatter plot,Perspective (graphical),1,2
Scatter plot,Field (mathematics),1,2
Crossover,Exploit,1,2
Crossover,Graph,1,2
Strengths and weaknesses,Analytics,1,2
Task (project management),Jigsaw,1,2
Query expansion,Analytics,1,2
Patent visualisation,Analytics,1,2
Patent visualisation,Query expansion,1,2
Query language,Patent visualisation,1,2
Plan (archaeology),Motion (physics),1,2
Set (abstract data type),Patent visualisation,1,2
Variety (cybernetics),Query expansion,1,2
Visualization,Millisecond,1,2
Variety (cybernetics),Patent visualisation,1,2
Variety (cybernetics),Query language,1,2
Visualization,Query expansion,1,2
Visualization,Patent visualisation,1,2
Abstraction,Query expansion,1,2
Abstraction,Patent visualisation,1,2
Abstraction,Query language,1,2
Task (project management),Empirical research,1,2
Plan (archaeology),Perception,1,2
Strengths and weaknesses,Exploit,1,2
Sensemaking,Empirical research,1,2
Strengths and weaknesses,Graph,1,2
Strengths and weaknesses,Crossover,1,2
Knowledge graph,Analytics,1,2
Knowledge graph,Exploit,1,2
Flicker,Visual angle,1,2
Knowledge graph,Graph,1,2
Knowledge graph,Crossover,1,2
Knowledge graph,Strengths and weaknesses,1,2
Flicker,Motion (physics),1,2
Plan (archaeology),Millisecond,1,2
Empirical research,Intelligence analysis,1,2
Empirical research,Jigsaw,1,2
Sensemaking,Intelligence analysis,1,2
Sensemaking,Jigsaw,1,2
Plan (archaeology),Visual angle,1,2
Customer satisfaction,Product (mathematics),1,2
Customer satisfaction,Sentiment analysis,1,2
Basis (linear algebra),Linear discriminant analysis,1,2
Reduction (mathematics),Table (database),1,2
Decision support system,Classifier (UML),1,2
Cognition,Variance (accounting),1,2
Table (database),Space (punctuation),1,2
Chaining,Space (punctuation),1,2
Chaining,Table (database),1,2
Chaining,Dimensionality reduction,1,2
Reduction (mathematics),Space (punctuation),1,2
Reduction (mathematics),Chaining,1,2
Customer relationship management,Feature (linguistics),1,2
Symbolic data analysis,Space (punctuation),1,2
Symbolic data analysis,Table (database),1,2
Task (project management),3d model,1,2
Symbolic data analysis,Dimensionality reduction,1,2
Symbolic data analysis,Chaining,1,2
Symbolic data analysis,Reduction (mathematics),1,2
Expression (computer science),Space (punctuation),1,2
Domain (mathematical analysis),Classifier (UML),1,2
Spatial analysis,Variance (accounting),1,2
Spatial analysis,Cognition,1,2
Pattern recognition (psychology),Sorting,1,2
Basis (linear algebra),Interpretability,1,2
Basis (linear algebra),Reduction (mathematics),1,2
Basis (linear algebra),Pairwise comparison,1,2
Basis (linear algebra),Centroid,1,2
Basis (linear algebra),Scatter plot,1,2
Population,Spatial analysis,1,2
Population,Cognition,1,2
Dimension (graph theory),Scatter plot,1,2
Dimension (graph theory),Basis (linear algebra),1,2
Table (database),Quality (philosophy),1,2
Sorting,Quality (philosophy),1,2
Sorting,Table (database),1,2
Population,Variance (accounting),1,2
Rank (graph theory),Sorting,1,2
Pattern recognition (psychology),Quality (philosophy),1,2
Expression (computer science),Table (database),1,2
Expression (computer science),Dimensionality reduction,1,2
Expression (computer science),Chaining,1,2
Casual,Portfolio,1,2
Diversification (marketing strategy),Population,1,2
Diversification (marketing strategy),Usability,1,2
Diversification (marketing strategy),Casual,1,2
Weighting,Sentiment analysis,1,2
Product (mathematics),Sentiment analysis,1,2
Product (mathematics),Weighting,1,2
3d model,Position (finance),1,2
Feature (linguistics),Sentiment analysis,1,2
Feature (linguistics),Weighting,1,2
Stereo display,Position (finance),1,2
Feature (linguistics),Product (mathematics),1,2
Flicker,Plan (archaeology),1,2
Customer relationship management,Sentiment analysis,1,2
Customer relationship management,Weighting,1,2
Customer relationship management,Product (mathematics),1,2
Diversification (marketing strategy),Analytics,1,2
Casual,Population,1,2
Task (project management),Position (finance),1,2
Usability,Portfolio,1,2
Expression (computer science),Reduction (mathematics),1,2
Expression (computer science),Symbolic data analysis,1,2
Workflow,Space (punctuation),1,2
Workflow,Table (database),1,2
Workflow,Chaining,1,2
Workflow,Reduction (mathematics),1,2
Workflow,Symbolic data analysis,1,2
Workflow,Expression (computer science),1,2
Task (project management),Chaining,1,2
Task (project management),Reduction (mathematics),1,2
Task (project management),Symbolic data analysis,1,2
Task (project management),Expression (computer science),1,2
Portfolio,Analytics,1,2
Portfolio,Population,1,2
3d model,Stereo display,1,2
Leverage (statistics),Query expansion,1,2
Leverage (statistics),Patent visualisation,1,2
Leverage (statistics),Query language,1,2
Usability,Personalization,1,2
Fingerprint (computing),Analytics,1,2
Fingerprint (computing),Debugging,1,2
Fingerprint (computing),Biometrics,1,2
Fingerprint (computing),Radio frequency,1,2
Timeline,Personalization,1,2
Similarity measure,Personalization,1,2
Similarity measure,Timeline,1,2
Usability,Similarity measure,1,2
Leverage (statistics),Abstraction,1,2
Measure (data warehouse),Personalization,1,2
Measure (data warehouse),Timeline,1,2
Morphing,Homotopy,1,2
Morphing,Computer graphics,1,2
Categorical variable,Personalization,1,2
Categorical variable,Timeline,1,2
Topology (electrical circuits),Homotopy,1,2
Radio frequency,Biometrics,1,2
Radio frequency,Pattern recognition (psychology),1,2
Radio frequency,Debugging,1,2
Biometrics,Pattern recognition (psychology),1,2
Visualization,Homotopy,1,2
Ranking (information retrieval),Class (philosophy),1,2
Ranking (information retrieval),Projection (relational algebra),1,2
Statistic,Analytics,1,2
Statistic,Data modeling,1,2
Cluster analysis,Statistic,1,2
Data analysis,Statistic,1,2
Domain (mathematical analysis),Geospatial analysis,1,2
Surface (topology),Homotopy,1,2
Self-organizing network,Geospatial analysis,1,2
Self-organizing network,Domain (mathematical analysis),1,2
Self-organizing network,Analytics,1,2
Debugging,Analytics,1,2
Biometrics,Analytics,1,2
Biometrics,Debugging,1,2
Categorical variable,Similarity measure,1,2
Categorical variable,Usability,1,2
Categorical variable,Measure (data warehouse),1,2
Correctness,Topology (electrical circuits),1,2
Frame (networking),TRACE (psycholinguistics),1,2
Space (punctuation),Point of interest,1,2
Space (punctuation),Frame of reference,1,2
Space (punctuation),Spatial analysis,1,2
Space (punctuation),TRACE (psycholinguistics),1,2
Space (punctuation),Frame (networking),1,2
Range (aeronautics),Motion (physics),1,2
Range (aeronautics),Point of interest,1,2
Range (aeronautics),Frame of reference,1,2
Range (aeronautics),Spatial analysis,1,2
Range (aeronautics),TRACE (psycholinguistics),1,2
Range (aeronautics),Frame (networking),1,2
Range (aeronautics),Space (punctuation),1,2
Movement (music),Motion (physics),1,2
Movement (music),Point of interest,1,2
Frame (networking),Spatial analysis,1,2
Frame (networking),Point of interest,1,2
Matching (statistics),Personalization,1,2
TRACE (psycholinguistics),Spatial analysis,1,2
Matching (statistics),Timeline,1,2
Homotopy,Computer graphics,1,2
Matching (statistics),Similarity measure,1,2
Matching (statistics),Usability,1,2
