Year,DOI,Title,Number of Authors,Author Position,Author Name,Author ID,Author Affiliation,One Affiliation
2006,10.1109/VAST.2006.261425,Semantic Image Browser: Bridging Information Visualization with Automated Intelligent Image Analysis,7.0,3.0,Daniel Hubball,https://ieeexplore.ieee.org/author/37300421500,"Department of Computer Science, University of North Carolina, Charlotte, Charlotte, USA",True
2006,10.1109/VAST.2006.261425,Semantic Image Browser: Bridging Information Visualization with Automated Intelligent Image Analysis,7.0,4.0,Yuli Gao,https://ieeexplore.ieee.org/author/37404899900,"Department of Computer Science, University of North Carolina, Charlotte, Charlotte, USA",True
2006,10.1109/VAST.2006.261425,Semantic Image Browser: Bridging Information Visualization with Automated Intelligent Image Analysis,7.0,5.0,Hangzai Luo,https://ieeexplore.ieee.org/author/37275772500,"Department of Computer Science, University of North Carolina, Charlotte, Charlotte, USA",True
2006,10.1109/VAST.2006.261425,Semantic Image Browser: Bridging Information Visualization with Automated Intelligent Image Analysis,7.0,6.0,William Ribarsky,https://ieeexplore.ieee.org/author/37300425000,"Department of Computer Science, University of North Carolina, Charlotte, Charlotte, USA",True
2006,10.1109/VAST.2006.261425,Semantic Image Browser: Bridging Information Visualization with Automated Intelligent Image Analysis,7.0,7.0,Matthew Ward,https://ieeexplore.ieee.org/author/37268441700,"Department of Computer Science, Worcester Polytechnic Institute, USA",True
2009,10.1109/TVCG.2009.141,Exploring 3D DTI fiber Tracts with Linked 2D Representations,3.0,1.0,Radu Jianu,https://ieeexplore.ieee.org/author/37887934300,"Brown University, USA",True
2009,10.1109/TVCG.2009.141,Exploring 3D DTI fiber Tracts with Linked 2D Representations,3.0,2.0,Cagatay Demiralp,https://ieeexplore.ieee.org/author/37085459182,"Brown University, USA",True
2009,10.1109/TVCG.2009.141,Exploring 3D DTI fiber Tracts with Linked 2D Representations,3.0,3.0,David Laidlaw,https://ieeexplore.ieee.org/author/37275712600,"Brown University, USA",True
2012,10.1109/TVCG.2012.275,Understanding Pen and Touch Interaction for Data Exploration on Interactive Whiteboards,5.0,1.0,Jagoda Walny,https://ieeexplore.ieee.org/author/38016653500,"University of Calgary, Canada",True
2012,10.1109/TVCG.2012.275,Understanding Pen and Touch Interaction for Data Exploration on Interactive Whiteboards,5.0,2.0,Bongshin Lee,https://ieeexplore.ieee.org/author/37293389400,"Microsoft Research, USA",True
2012,10.1109/TVCG.2012.275,Understanding Pen and Touch Interaction for Data Exploration on Interactive Whiteboards,5.0,3.0,Paul Johns,https://ieeexplore.ieee.org/author/38489632600,"Microsoft Research, USA",True
2012,10.1109/TVCG.2012.275,Understanding Pen and Touch Interaction for Data Exploration on Interactive Whiteboards,5.0,4.0,Nathalie Henry Riche,https://ieeexplore.ieee.org/author/38328504500,"Microsoft Research, USA",True
2012,10.1109/TVCG.2012.275,Understanding Pen and Touch Interaction for Data Exploration on Interactive Whiteboards,5.0,5.0,Sheelagh Carpendale,https://ieeexplore.ieee.org/author/37285000100,"Consultant for Microsoft Research, University of Calgary, Canada",True
2013,10.1109/TVCG.2013.119,A Deeper Understanding of Sequence in Narrative Visualization,6.0,1.0,Jessica Hullman,https://ieeexplore.ieee.org/author/38016234500,"University of Michigan, USA",True
2013,10.1109/TVCG.2013.119,A Deeper Understanding of Sequence in Narrative Visualization,6.0,2.0,Steven Drucker,https://ieeexplore.ieee.org/author/37585786500,"Microsoft Research, USA",True
2013,10.1109/TVCG.2013.119,A Deeper Understanding of Sequence in Narrative Visualization,6.0,3.0,Nathalie Henry Riche,https://ieeexplore.ieee.org/author/38328504500,"Microsoft Research, USA",True
2013,10.1109/TVCG.2013.119,A Deeper Understanding of Sequence in Narrative Visualization,6.0,4.0,Bongshin Lee,https://ieeexplore.ieee.org/author/37293389400,"Microsoft Research, USA",True
2013,10.1109/TVCG.2013.119,A Deeper Understanding of Sequence in Narrative Visualization,6.0,5.0,Danyel Fisher,https://ieeexplore.ieee.org/author/37542391000,"Microsoft Research, USA",True
2013,10.1109/TVCG.2013.119,A Deeper Understanding of Sequence in Narrative Visualization,6.0,6.0,Eytan Adar,https://ieeexplore.ieee.org/author/37331417100,"University of Michigan, USA",True
2014,10.1109/TVCG.2014.2346271,Origin-Destination Flow Data Smoothing and Mapping,2.0,1.0,Diansheng Guo,https://ieeexplore.ieee.org/author/37669399300,"Department of Geography, University of South Carolina",True
2014,10.1109/TVCG.2014.2346271,Origin-Destination Flow Data Smoothing and Mapping,2.0,2.0,Xi Zhu,https://ieeexplore.ieee.org/author/37085504334,"Department of Geography, University of South Carolina",True
2015,10.1109/TVCG.2015.2467851,Time Curves: Folding Time to Visualize Patterns of Temporal Evolution in Data,6.0,1.0,Benjamin Bach,https://ieeexplore.ieee.org/author/37085687578,Microsoft Research-Inria Joint Centre,True
2015,10.1109/TVCG.2015.2467851,Time Curves: Folding Time to Visualize Patterns of Temporal Evolution in Data,6.0,2.0,Conglei Shi,https://ieeexplore.ieee.org/author/38019494400,"IBM T.J, Watson Research Center, Yorktown Height, NY",True
2015,10.1109/TVCG.2015.2467851,Time Curves: Folding Time to Visualize Patterns of Temporal Evolution in Data,6.0,3.0,Nicolas Heulot,https://ieeexplore.ieee.org/author/37085432351,IRT SystemX,True
2015,10.1109/TVCG.2015.2467851,Time Curves: Folding Time to Visualize Patterns of Temporal Evolution in Data,6.0,4.0,Tara Madhyastha,https://ieeexplore.ieee.org/author/37326425600,"Department of Radiology, University of Washington",True
2015,10.1109/TVCG.2015.2467851,Time Curves: Folding Time to Visualize Patterns of Temporal Evolution in Data,6.0,5.0,Tom Grabowski,https://ieeexplore.ieee.org/author/38263758600,"Department of Radiology and Neurology, University of Washington",True
2015,10.1109/TVCG.2015.2467851,Time Curves: Folding Time to Visualize Patterns of Temporal Evolution in Data,6.0,6.0,Pierre Dragicevic,https://ieeexplore.ieee.org/author/37590932700,Inria,True
2016,10.1109/TVCG.2016.2598432,SmartAdP: Visual Analytics of Large-scale Taxi Trajectories for Selecting Billboard Locations,7.0,1.0,Dongyu Liu,https://ieeexplore.ieee.org/author/37088559342,"Zhejiang University, Hong Kong University of Science and Technology",True
2016,10.1109/TVCG.2016.2598432,SmartAdP: Visual Analytics of Large-scale Taxi Trajectories for Selecting Billboard Locations,7.0,2.0,Di Weng,https://ieeexplore.ieee.org/author/37085887051,"State Key Lab of CAD & CG, Zhejiang University",True
2016,10.1109/TVCG.2016.2598432,SmartAdP: Visual Analytics of Large-scale Taxi Trajectories for Selecting Billboard Locations,7.0,3.0,Yuhong Li,https://ieeexplore.ieee.org/author/37086863152,University of Macau,True
2016,10.1109/TVCG.2016.2598432,SmartAdP: Visual Analytics of Large-scale Taxi Trajectories for Selecting Billboard Locations,7.0,4.0,Jie Bao,https://ieeexplore.ieee.org/author/37085887993,"Microsoft Research, Beijing, China",True
2016,10.1109/TVCG.2016.2598432,SmartAdP: Visual Analytics of Large-scale Taxi Trajectories for Selecting Billboard Locations,7.0,5.0,Yu Zheng,https://ieeexplore.ieee.org/author/37600606700,"Microsoft Research, Beijing, China",True
2016,10.1109/TVCG.2016.2598432,SmartAdP: Visual Analytics of Large-scale Taxi Trajectories for Selecting Billboard Locations,7.0,6.0,Huamin Qu,https://ieeexplore.ieee.org/author/37272637300,Hong Kong University of Science and Technology,True
2016,10.1109/TVCG.2016.2598432,SmartAdP: Visual Analytics of Large-scale Taxi Trajectories for Selecting Billboard Locations,7.0,7.0,Yingcai Wu,https://ieeexplore.ieee.org/author/37407308300,"State Key Lab of CAD & CG, Zhejiang University",True
1998,10.1109/VISUAL.1998.745298,Isosurface extraction in time-varying fields using a temporal hierarchical index tree,1.0,1.0,H.-W. Shen,https://ieeexplore.ieee.org/author/37366741500,"MRJ Technology Solutions, Moffett Field, CA, USA",True
2001,10.1109/VISUAL.2001.964518,A complete distance field representation,5.0,1.0,Jian Huang,https://ieeexplore.ieee.org/author/37087260343,"Computer and Information Science, Ohio State Uinversity, Columbus, OH, USA",True
2001,10.1109/VISUAL.2001.964518,A complete distance field representation,5.0,2.0,Yan Li,https://ieeexplore.ieee.org/author/37087728625,"Electrical Engineering, Ohio State Uinversity, Columbus, OH, USA",True
2001,10.1109/VISUAL.2001.964518,A complete distance field representation,5.0,3.0,R. Crawfis,https://ieeexplore.ieee.org/author/37284273900,"Computer and Information Science, Ohio State Uinversity, Columbus, OH, USA",True
2001,10.1109/VISUAL.2001.964518,A complete distance field representation,5.0,4.0,Shao-Chiung Lu,https://ieeexplore.ieee.org/author/37087726060,"Visteon, Inc., Dearborn, MI, USA",True
2001,10.1109/VISUAL.2001.964518,A complete distance field representation,5.0,5.0,Shuh-Yuan Liou,https://ieeexplore.ieee.org/author/37087730905,"Ford Motor Company Limited, Dearborn, MI, USA",True
2003,10.1109/VISUAL.2003.1250361,A texture-based framework for spacetime-coherent visualization of time-dependent vector fields,3.0,1.0,D. Weiskopf,https://ieeexplore.ieee.org/author/37268045000,"Institute of Visualization and Interactive Systems, University of Stuttgart, Germany",True
2003,10.1109/VISUAL.2003.1250361,A texture-based framework for spacetime-coherent visualization of time-dependent vector fields,3.0,2.0,G. Erlebacher,https://ieeexplore.ieee.org/author/37324424400,"School of Computational Science and Information Technology, Florida State University, USA",True
2003,10.1109/VISUAL.2003.1250361,A texture-based framework for spacetime-coherent visualization of time-dependent vector fields,3.0,3.0,T. Ertl,https://ieeexplore.ieee.org/author/37268023800,"Institute of Visualization and Interactive Systems, University of Stuttgart, Germany",True
2003,10.1109/VISUAL.2003.1250362,Effectively visualizing multi-valued flow data using color and texture,5.0,1.0,T. Urness,https://ieeexplore.ieee.org/author/37282639600,"Department of Computer Science and Engineering, University of Minnesota, USA",True
2003,10.1109/VISUAL.2003.1250362,Effectively visualizing multi-valued flow data using color and texture,5.0,2.0,V. Interrante,https://ieeexplore.ieee.org/author/37282637800,"Department of Computer Science and Engineering, University of Minnesota, USA",True
2003,10.1109/VISUAL.2003.1250362,Effectively visualizing multi-valued flow data using color and texture,5.0,3.0,I. Marusic,https://ieeexplore.ieee.org/author/37282626600,"Department of Aerospace Engineering and Mechanics, University of Minnesota, USA",True
2003,10.1109/VISUAL.2003.1250362,Effectively visualizing multi-valued flow data using color and texture,5.0,4.0,E. Longmire,https://ieeexplore.ieee.org/author/37282625600,"Department of Aerospace Engineering and Mechanics, University of Minnesota, USA",True
2003,10.1109/VISUAL.2003.1250362,Effectively visualizing multi-valued flow data using color and texture,5.0,5.0,B. Ganapathisubramani,https://ieeexplore.ieee.org/author/37088096844,"Department of Aerospace Engineering and Mechanics, University of Minnesota, USA",True
2004,10.1109/VISUAL.2004.65,Linear and cubic box splines for the body centered cubic lattice,3.0,1.0,A. Entezari,https://ieeexplore.ieee.org/author/37268675600,"Graphics, Usability, and Visualization (GrUVi) Laboratory, Simon Fraser University, Canada",True
2004,10.1109/VISUAL.2004.65,Linear and cubic box splines for the body centered cubic lattice,3.0,2.0,R. Dyer,https://ieeexplore.ieee.org/author/37088239810,"Graphics, Usability, and Visualization (GrUVi) Laboratory, Simon Fraser University, Canada",True
2004,10.1109/VISUAL.2004.65,Linear and cubic box splines for the body centered cubic lattice,3.0,3.0,T. Moller,https://ieeexplore.ieee.org/author/37275858700,"Graphics, Usability, and Visualization (GrUVi) Laboratory, Simon Fraser University, Canada",True
2004,10.1109/VISUAL.2004.95,Scout: a hardware-accelerated system for quantitatively driven visualization and analysis,5.0,1.0,P.S. McCormick,https://ieeexplore.ieee.org/author/37282708700,"Advanced Computing Laboratory, Los Alamos National Laboratory, USA",True
2004,10.1109/VISUAL.2004.95,Scout: a hardware-accelerated system for quantitatively driven visualization and analysis,5.0,2.0,J. Inman,https://ieeexplore.ieee.org/author/37085548179,"Advanced Computing Laboratory, Los Alamos National Laboratory, USA",True
2004,10.1109/VISUAL.2004.95,Scout: a hardware-accelerated system for quantitatively driven visualization and analysis,5.0,3.0,J.P. Ahrens,https://ieeexplore.ieee.org/author/37282713700,"Advanced Computing Laboratory, Los Alamos National Laboratory, USA",True
2004,10.1109/VISUAL.2004.95,Scout: a hardware-accelerated system for quantitatively driven visualization and analysis,5.0,4.0,C. Hansen,https://ieeexplore.ieee.org/author/37266777200,"Scientific Computing and Imaging Institute, University of Utah, USA",True
2004,10.1109/VISUAL.2004.95,Scout: a hardware-accelerated system for quantitatively driven visualization and analysis,5.0,5.0,G. Roth,https://ieeexplore.ieee.org/author/37088327309,"Scientific Computing and Imaging Institute, University of Utah, USA",True
2006,10.1109/TVCG.2006.179,Spatial Analysis of News Sources,5.0,1.0,Andrew Mehler,https://ieeexplore.ieee.org/author/37839290200,"Department of Computer Science, Stony Brook University, USA",True
2006,10.1109/TVCG.2006.179,Spatial Analysis of News Sources,5.0,2.0,Yunfan Bao,https://ieeexplore.ieee.org/author/37828493400,"Department of Computer Science, Stony Brook University, USA",True
2006,10.1109/TVCG.2006.179,Spatial Analysis of News Sources,5.0,3.0,Xin Li,https://ieeexplore.ieee.org/author/37089072698,"Department of Computer Science, Stony Brook University, USA",True
2006,10.1109/TVCG.2006.179,Spatial Analysis of News Sources,5.0,4.0,Yue Wang,https://ieeexplore.ieee.org/author/37311551500,"Department of Computer Science, Stony Brook University, USA",True
2006,10.1109/TVCG.2006.179,Spatial Analysis of News Sources,5.0,5.0,Steven Skiena,https://ieeexplore.ieee.org/author/37390017300,"Department of Computer Science, Stony Brook University, USA",True
2006,10.1109/TVCG.2006.111,A Novel Visualization Model for Web Search Results,2.0,1.0,Tien Nguyen,https://ieeexplore.ieee.org/author/37280728200,"Electrical and Computer Engineering Department, Iowa State University, USA",True
2006,10.1109/TVCG.2006.111,A Novel Visualization Model for Web Search Results,2.0,2.0,Jin Zhang,https://ieeexplore.ieee.org/author/37836748400,"University of Wisconsin, Milwaukee, USA",True
2007,10.1109/TVCG.2007.70595,Similarity-Guided Streamline Placement with Error Evaluation,3.0,1.0,Yuan Chen,https://ieeexplore.ieee.org/author/37965943900,"Johns Hopkins University, USA",True
2007,10.1109/TVCG.2007.70595,Similarity-Guided Streamline Placement with Error Evaluation,3.0,2.0,Jonathan Cohen,https://ieeexplore.ieee.org/author/37089403197,"Lawrence Livemore National Laboratory, USA",True
2007,10.1109/TVCG.2007.70595,Similarity-Guided Streamline Placement with Error Evaluation,3.0,3.0,Julian Krolik,https://ieeexplore.ieee.org/author/37087445844,"Johns Hopkins University, USA",True
2009,10.1109/TVCG.2009.176,ResultMaps: Visualization for Search Interfaces,3.0,1.0,Edward Clarkson,https://ieeexplore.ieee.org/author/37296656400,"Computer Science, Georgia Tech, USA",True
2009,10.1109/TVCG.2009.176,ResultMaps: Visualization for Search Interfaces,3.0,2.0,Krishna Desai,https://ieeexplore.ieee.org/author/38101559100,"College of Computing, Georgia Tech, USA",True
2009,10.1109/TVCG.2009.176,ResultMaps: Visualization for Search Interfaces,3.0,3.0,James Foley,https://ieeexplore.ieee.org/author/37286177900,"College of Computing and GVU Center, Georgia Tech, USA",True
2009,10.1109/VAST.2009.5333020,Capturing and supporting the analysis process,8.0,1.0,Nazanin Kadivar,https://ieeexplore.ieee.org/author/37681588600,"School of Interactive Arts and Technology, Simon Fraser University, Canada",True
2009,10.1109/VAST.2009.5333020,Capturing and supporting the analysis process,8.0,2.0,Victor Chen,https://ieeexplore.ieee.org/author/38182637400,"School of Interactive Arts and Technology, Simon Fraser University, Canada",True
2009,10.1109/VAST.2009.5333020,Capturing and supporting the analysis process,8.0,3.0,Dustin Dunsmuir,https://ieeexplore.ieee.org/author/37601085600,"School of Interactive Arts and Technology, Simon Fraser University, Canada",True
2009,10.1109/VAST.2009.5333020,Capturing and supporting the analysis process,8.0,4.0,Eric Lee,https://ieeexplore.ieee.org/author/37596074400,"School of Interactive Arts and Technology, Simon Fraser University, Canada",True
2009,10.1109/VAST.2009.5333020,Capturing and supporting the analysis process,8.0,5.0,Cheryl Qian,https://ieeexplore.ieee.org/author/38585310400,"School of Interactive Arts and Technology, Simon Fraser University, Canada",True
2009,10.1109/VAST.2009.5333020,Capturing and supporting the analysis process,8.0,6.0,John Dill,https://ieeexplore.ieee.org/author/37278563100,"School of Interactive Arts and Technology, Simon Fraser University, Canada",True
2009,10.1109/VAST.2009.5333020,Capturing and supporting the analysis process,8.0,7.0,Christopher Shaw,https://ieeexplore.ieee.org/author/37358198200,"School of Interactive Arts and Technology, Simon Fraser University, Canada",True
2009,10.1109/VAST.2009.5333020,Capturing and supporting the analysis process,8.0,8.0,Robert Woodbury,https://ieeexplore.ieee.org/author/38181028300,"School of Interactive Arts and Technology, Simon Fraser University, Canada",True
2010,10.1109/TVCG.2010.148,Efficient High-Quality Volume Rendering of SPH Data,3.0,1.0,Roland Fraedrich,https://ieeexplore.ieee.org/author/37590979700,"Computer Graphics and Visualization Group, Technische Universität, Munchen, Germany",True
2010,10.1109/TVCG.2010.148,Efficient High-Quality Volume Rendering of SPH Data,3.0,2.0,Stefan Auer,https://ieeexplore.ieee.org/author/37411079300,"Computer Graphics and Visualization Group, Technische Universität, Munchen, Germany",True
2010,10.1109/TVCG.2010.148,Efficient High-Quality Volume Rendering of SPH Data,3.0,3.0,Rudiger Westermann,https://ieeexplore.ieee.org/author/37444424000,"Computer Graphics and Visualization Group, Technische Universität, Munchen, Germany",True
2010,10.1109/TVCG.2010.208,Uncertainty-Aware Guided Volume Segmentation,3.0,1.0,Jorg-Stefan Prassni,https://ieeexplore.ieee.org/author/37591258700,"Visualization and Computer Graphics Research Group (VisCG), University of Münster, Germany",True
2010,10.1109/TVCG.2010.208,Uncertainty-Aware Guided Volume Segmentation,3.0,2.0,Timo Ropinski,https://ieeexplore.ieee.org/author/37295281400,"Visualization and Computer Graphics Research Group (VisCG), University of Münster, Germany",True
2010,10.1109/TVCG.2010.208,Uncertainty-Aware Guided Volume Segmentation,3.0,3.0,Klaus Hinrichs,https://ieeexplore.ieee.org/author/37267218300,"Visualization and Computer Graphics Research Group (VisCG), University of Münster, Germany",True
2014,10.1109/TVCG.2014.2346746,Visual Exploration of Sparse Traffic Trajectory Data,7.0,1.0,Zuchao Wang,https://ieeexplore.ieee.org/author/37404943000,Peking University,True
2014,10.1109/TVCG.2014.2346746,Visual Exploration of Sparse Traffic Trajectory Data,7.0,2.0,Tangzhi Ye,https://ieeexplore.ieee.org/author/37085582100,Peking University,True
2014,10.1109/TVCG.2014.2346746,Visual Exploration of Sparse Traffic Trajectory Data,7.0,3.0,Min Lu,https://ieeexplore.ieee.org/author/38238228600,Peking University,True
2014,10.1109/TVCG.2014.2346746,Visual Exploration of Sparse Traffic Trajectory Data,7.0,4.0,Xiaoru Yuan,https://ieeexplore.ieee.org/author/37403856700,Peking University,True
2014,10.1109/TVCG.2014.2346746,Visual Exploration of Sparse Traffic Trajectory Data,7.0,5.0,Huamin Qu,https://ieeexplore.ieee.org/author/37272637300,Hong Kong University of Science and Technology,True
2014,10.1109/TVCG.2014.2346746,Visual Exploration of Sparse Traffic Trajectory Data,7.0,6.0,Jacky Yuan,https://ieeexplore.ieee.org/author/37085583261,"Nanjing Intelligent Transportation Systems Co., Ltd",True
2014,10.1109/TVCG.2014.2346746,Visual Exploration of Sparse Traffic Trajectory Data,7.0,7.0,Qianliang Wu,https://ieeexplore.ieee.org/author/37085575933,"Nanjing Intelligent Transportation Systems Co., Ltd",True
1990,10.1109/VISUAL.1990.146377,Applying space subdivision techniques to volume rendering,2.0,1.0,K.R. Subramanian,https://ieeexplore.ieee.org/author/37070774300,"Department of Computer Sciences, University of Texas, Austin, Austin, TX, USA",True
1990,10.1109/VISUAL.1990.146377,Applying space subdivision techniques to volume rendering,2.0,2.0,D.S. Fussell,https://ieeexplore.ieee.org/author/37300594200,"Department of Computer Sciences, University of Texas, Austin, Austin, TX, USA",True
1998,10.1109/INFVIS.1998.729555,Reconfigurable disc trees for visualizing large hierarchical information space,2.0,1.0,Chang-Sung Jeong,https://ieeexplore.ieee.org/author/37087169964,"Department of Electronics Engineering, Korea University, Seoul, South Korea",True
1998,10.1109/INFVIS.1998.729555,Reconfigurable disc trees for visualizing large hierarchical information space,2.0,2.0,A. Pang,https://ieeexplore.ieee.org/author/37267352000,"Computer Science Department, University of California, Santa Cruz, CA, USA",True
2005,10.1109/INFVIS.2005.1532145,A note on space-filling visualizations and space-filling curves,1.0,1.0,M. Wattenberg,https://ieeexplore.ieee.org/author/37550759700,"IBM Research, Israel",True
2006,10.1109/VAST.2006.261438,Monitoring Network Traffic with Radial Traffic Analyzer,4.0,1.0,Daniel A. Keim,https://ieeexplore.ieee.org/author/37283138700,"Databases, Data Mining and Visualization Group, University of Konstanz, Germany",True
2006,10.1109/VAST.2006.261438,Monitoring Network Traffic with Radial Traffic Analyzer,4.0,2.0,Florian Mansmann,https://ieeexplore.ieee.org/author/37392086200,"Databases, Data Mining and Visualization Group, University of Konstanz, Germany",True
2006,10.1109/VAST.2006.261438,Monitoring Network Traffic with Radial Traffic Analyzer,4.0,3.0,Jorn Schneidewind,https://ieeexplore.ieee.org/author/37669961800,"Databases, Data Mining and Visualization Group, University of Konstanz, Germany",True
2006,10.1109/VAST.2006.261438,Monitoring Network Traffic with Radial Traffic Analyzer,4.0,4.0,Tobias Schreck,https://ieeexplore.ieee.org/author/37282557600,"Databases, Data Mining and Visualization Group, University of Konstanz, Germany",True
2008,10.1109/TVCG.2008.131,Extensions of Parallel Coordinates for Interactive Exploration of Large Multi-Timepoint Data Sets,3.0,1.0,Jorik Blaas,https://ieeexplore.ieee.org/author/37550793100,"Data Visualization Group, Delft University of Technnology, Netherlands",True
2008,10.1109/TVCG.2008.131,Extensions of Parallel Coordinates for Interactive Exploration of Large Multi-Timepoint Data Sets,3.0,2.0,Charl Botha,https://ieeexplore.ieee.org/author/37373834100,"Data Visualization Group, Delft University of Technnology, Netherlands",True
2008,10.1109/TVCG.2008.131,Extensions of Parallel Coordinates for Interactive Exploration of Large Multi-Timepoint Data Sets,3.0,3.0,Frits Post,https://ieeexplore.ieee.org/author/37295045800,"Data Visualization Group, Delft University of Technnology, Netherlands",True
2009,10.1109/VAST.2009.5332593,Proximity-based visualization of movement trace data,4.0,1.0,Tarik Crnovrsanin,https://ieeexplore.ieee.org/author/37597152500,"University of California, Davis, USA",True
2009,10.1109/VAST.2009.5332593,Proximity-based visualization of movement trace data,4.0,2.0,Chris Muelder,https://ieeexplore.ieee.org/author/37299311900,"University of California, Davis, USA",True
2009,10.1109/VAST.2009.5332593,Proximity-based visualization of movement trace data,4.0,3.0,Carlos Correa,https://ieeexplore.ieee.org/author/37282925900,"University of California, Davis, USA",True
2009,10.1109/VAST.2009.5332593,Proximity-based visualization of movement trace data,4.0,4.0,Kwan-Liu Ma,https://ieeexplore.ieee.org/author/37275869400,"University of California, Davis, USA",True
2010,10.1109/VAST.2010.5652392,DimStiller: Workflows for dimensional analysis and reduction,6.0,1.0,Stephen Ingram,https://ieeexplore.ieee.org/author/37587716200,"University of British Columbia, Canada",True
2010,10.1109/VAST.2010.5652392,DimStiller: Workflows for dimensional analysis and reduction,6.0,2.0,Tamara Munzner,https://ieeexplore.ieee.org/author/37349490300,"University of British Columbia, Canada",True
2010,10.1109/VAST.2010.5652392,DimStiller: Workflows for dimensional analysis and reduction,6.0,3.0,Veronika Irvine,https://ieeexplore.ieee.org/author/37589529600,"University of Victoria, Canada",False
2010,10.1109/VAST.2010.5652392,DimStiller: Workflows for dimensional analysis and reduction,6.0,4.0,Melanie Tory,https://ieeexplore.ieee.org/author/37275861300,"University of Victoria, Canada",False
2010,10.1109/VAST.2010.5652392,DimStiller: Workflows for dimensional analysis and reduction,6.0,5.0,Steven Bergner,https://ieeexplore.ieee.org/author/37418878100,"Simon Fraser University, Canada",True
2010,10.1109/VAST.2010.5652392,DimStiller: Workflows for dimensional analysis and reduction,6.0,6.0,Torsten Möller,https://ieeexplore.ieee.org/author/37275858700,"Simon Fraser University, Canada",True
2012,10.1109/VAST.2012.6400494,Visual cluster exploration of web clickstream data,4.0,1.0,Jishang Wei,https://ieeexplore.ieee.org/author/37404768800,"University of California, Davis",True
2012,10.1109/VAST.2012.6400494,Visual cluster exploration of web clickstream data,4.0,2.0,Zeqian Shen,https://ieeexplore.ieee.org/author/37852129700,eBay Research Labs,True
2012,10.1109/VAST.2012.6400494,Visual cluster exploration of web clickstream data,4.0,3.0,Neel Sundaresan,https://ieeexplore.ieee.org/author/37845570000,eBay Research Labs,True
2012,10.1109/VAST.2012.6400494,Visual cluster exploration of web clickstream data,4.0,4.0,Kwan-Liu Ma,https://ieeexplore.ieee.org/author/37275869400,"University of California, Davis",True
2014,10.1109/TVCG.2014.2346279,Revisiting Bertin Matrices: New Interactions for Crafting Tabular Visualizations,3.0,1.0,Charles Perin,https://ieeexplore.ieee.org/author/37077505300,"INRIA, CNRS-LIMSI",True
2014,10.1109/TVCG.2014.2346279,Revisiting Bertin Matrices: New Interactions for Crafting Tabular Visualizations,3.0,2.0,Pierre Dragicevic,https://ieeexplore.ieee.org/author/37590932700,INRIA,True
2014,10.1109/TVCG.2014.2346279,Revisiting Bertin Matrices: New Interactions for Crafting Tabular Visualizations,3.0,3.0,Jean-Daniel Fekete,https://ieeexplore.ieee.org/author/37407972900,INRIA,True
2014,10.1109/TVCG.2014.2346919,EvoRiver: Visual Analysis of Topic Coopetition on Social Media,6.0,1.0,Guodao Sun,https://ieeexplore.ieee.org/author/37085399384,Zhejiang University of Technology,True
2014,10.1109/TVCG.2014.2346919,EvoRiver: Visual Analysis of Topic Coopetition on Social Media,6.0,2.0,Yingcai Wu,https://ieeexplore.ieee.org/author/37407308300,Microsoft Research,True
2014,10.1109/TVCG.2014.2346919,EvoRiver: Visual Analysis of Topic Coopetition on Social Media,6.0,3.0,Shixia Liu,https://ieeexplore.ieee.org/author/37406039100,Microsoft Research,True
2014,10.1109/TVCG.2014.2346919,EvoRiver: Visual Analysis of Topic Coopetition on Social Media,6.0,4.0,Tai-Quan Peng,https://ieeexplore.ieee.org/author/37077240400,Nanyang Technological University,True
2014,10.1109/TVCG.2014.2346919,EvoRiver: Visual Analysis of Topic Coopetition on Social Media,6.0,5.0,Jonathan J. H. Zhu,https://ieeexplore.ieee.org/author/37405779600,City University of Hong Kong,True
2014,10.1109/TVCG.2014.2346919,EvoRiver: Visual Analysis of Topic Coopetition on Social Media,6.0,6.0,Ronghua Liang,https://ieeexplore.ieee.org/author/37429998500,Zhejiang University of Technology,True
1998,10.1109/INFVIS.1998.729568,The shape of Shakespeare: visualizing text using implicit surfaces,3.0,1.0,R.M. Rohrer,https://ieeexplore.ieee.org/author/37373506600,"Department of EECS, George Washington University, USA",True
1998,10.1109/INFVIS.1998.729568,The shape of Shakespeare: visualizing text using implicit surfaces,3.0,2.0,D.S. Ebert,https://ieeexplore.ieee.org/author/37282598900,"CSEE Department, University of Maryland Baltimore County, USA",True
1998,10.1109/INFVIS.1998.729568,The shape of Shakespeare: visualizing text using implicit surfaces,3.0,3.0,J.L. Sibert,https://ieeexplore.ieee.org/author/37265573100,"Department of EECS, George Washington University, USA",True
1998,10.1109/VISUAL.1998.745291,Feature comparisons of vector fields using Earth mover's distance,3.0,1.0,Y. Lavin,https://ieeexplore.ieee.org/author/37372012600,"Department of Physics, University of Stanford, Stanford, CA, USA",True
1998,10.1109/VISUAL.1998.745291,Feature comparisons of vector fields using Earth mover's distance,3.0,2.0,R. Batra,https://ieeexplore.ieee.org/author/37087145225,"Department of Aeronautics and Astronautics, University of Stanford, Stanford, CA, USA",True
1998,10.1109/VISUAL.1998.745291,Feature comparisons of vector fields using Earth mover's distance,3.0,3.0,L. Hesselink,https://ieeexplore.ieee.org/author/37274095200,"Department of Electrical Engineering, University of Stanford, Stanford, CA, USA",True
