Year,DOI,IEEE Title,Title on Google Scholar,Citation Link,Citation Counts on Google Scholar
2009,10.1109/TVCG.2009.172,Perception-Based Transparency Optimization for Direct Volume Rendering,Perception-based transparency optimization for direct volume rendering,"https://scholar.google.com/scholar?cites=1450894385212094668&as_sdt=5,50&sciodt=0,50&hl=en",67
2010,10.1109/VAST.2010.5652460,Flow-based scatterplots for sensitivity analysis,Flow-based scatterplots for sensitivity analysis,"https://scholar.google.com/scholar?cites=5656579354149427712&as_sdt=5,50&sciodt=0,50&hl=en",67
2011,10.1109/TVCG.2011.191,Drawing Road Networks with Focus Regions,Drawing road networks with focus regions,"https://scholar.google.com/scholar?cites=10933609629121076889&as_sdt=5,50&sciodt=0,50&hl=en",79
2012,10.1109/TVCG.2012.221,Evaluating the Effect of Style in Information Visualization,Evaluating the effect of style in information visualization,"https://scholar.google.com/scholar?cites=9805322127328282514&as_sdt=5,50&sciodt=0,50&hl=en",126
2012,10.1109/TVCG.2012.256,Representative Factor Generation for the Interactive Visual Analysis of High-Dimensional Data,Representative factor generation for the interactive visual analysis of high-dimensional data,"https://scholar.google.com/scholar?cites=8628009265756151322&as_sdt=5,50&sciodt=0,50&hl=en",75
2014,10.1109/TVCG.2014.2346419,The Persuasive Power of Data Visualization,The persuasive power of data visualization,"https://scholar.google.com/scholar?cites=11063139595804301340&as_sdt=5,50&sciodt=0,50&hl=en",175
2015,10.1109/TVCG.2015.2466992,"Evaluation of Parallel Coordinates: Overview, Categorization and Guidelines for Future Research","Evaluation of parallel coordinates: Overview, categorization and guidelines for future research","https://scholar.google.com/scholar?cites=14492361535991500711&as_sdt=5,50&sciodt=0,50&hl=en",135
2017,10.1109/TVCG.2017.2744683,Do Convolutional Neural Networks Learn Class Hierarchy?,Do convolutional neural networks learn class hierarchy?,"https://scholar.google.com/scholar?cites=2268614162512437100&as_sdt=5,50&sciodt=0,50&hl=en",164
2017,10.1109/TVCG.2017.2744938,Analyzing the Training Processes of Deep Generative Models,Analyzing the training processes of deep generative models,"https://scholar.google.com/scholar?cites=4081657671260940362&as_sdt=5,50&sciodt=0,50&hl=en",121
1995,10.1109/VISUAL.1995.480801,An architecture for retaining and analyzing visual explorations of databases,An architecture for retaining and analyzing visual explorations of databases,"https://scholar.google.com/scholar?cites=2672077146357230417&as_sdt=5,50&sciodt=0,50&hl=en",58
1997,10.1109/VISUAL.1997.663910,Vortex identification-applications in aerodynamics: a case study,Vortex identification-applications in aerodynamics: A case study,"https://scholar.google.com/scholar?cites=3894026010503801979&as_sdt=5,50&sciodt=0,50&hl=en",71
1997,10.1109/VISUAL.1997.663931,A visualization of music,A visualization of music,"https://scholar.google.com/scholar?cites=570011031171164618&as_sdt=5,50&sciodt=0,50&hl=en",116
2001,10.1109/VISUAL.2001.964510,"The ""Which Blair project"": a quick visual method for evaluating perceptual color maps","The"" which blair project"": A quick visual method for evaluating perceptual color maps","https://scholar.google.com/scholar?cites=10992743266743315456&as_sdt=5,50&sciodt=0,50&hl=en",93
2002,10.1109/INFVIS.2002.1173146,Graphical encoding for information visualization: an empirical study,Graphical encoding for information visualization: an empirical study,"https://scholar.google.com/scholar?cites=8311567459307235683&as_sdt=5,50&sciodt=0,50&hl=en",82
2003,10.1109/VISUAL.2003.1250415,A visual exploration process for the analysis of Internet routing data,[BOOK] A visual exploration process for the analysis of internet routing data,"https://scholar.google.com/scholar?cites=6732180900542071831&as_sdt=5,50&sciodt=0,50&hl=en",54
2003,10.1109/VISUAL.2003.1250418,Visualizing industrial CT volume data for nondestructive testing applications,[BOOK] Visualizing industrial CT volume data for nondestructive testing applications,"https://scholar.google.com/scholar?cites=17593529430138679321&as_sdt=5,50&sciodt=0,50&hl=en",66
2006,10.1109/VAST.2006.261424,Exploratory Visualization of Multivariate Data with Variable Quality,Exploratory visualization of multivariate data with variable quality,"https://scholar.google.com/scholar?cites=8096395260190043994&as_sdt=5,50&sciodt=0,50&hl=en",72
2007,10.1109/TVCG.2007.70558,Geographically Weighted Visualization: Interactive Graphics for Scale-Varying Exploratory Analysis,Geographically weighted visualization: interactive graphics for scale-varying exploratory analysis,"https://scholar.google.com/scholar?cites=4703470578402046248&as_sdt=5,50&sciodt=0,50&hl=en",67
2007,10.1109/VAST.2007.4389001,Intelligent Visual Analytics Queries,Intelligent visual analytics queries,"https://scholar.google.com/scholar?cites=9682296121324265469&as_sdt=5,50&sciodt=0,50&hl=en",57
2007,10.1109/TVCG.2007.70517,Two-Level Approach to Efficient Visualization of Protein Dynamics,Two-level approach to efficient visualization of protein dynamics,"https://scholar.google.com/scholar?cites=16363880550997959895&as_sdt=5,50&sciodt=0,50&hl=en",67
2008,10.1109/TVCG.2008.152,Particle-based labeling: Fast point-feature labeling without obscuring other visual features,Particle-based labeling: Fast point-feature labeling without obscuring other visual features,"https://scholar.google.com/scholar?cites=14323549000246054638&as_sdt=5,50&sciodt=0,50&hl=en",87
2008,10.1109/TVCG.2008.158,Rapid Graph Layout Using Space Filling Curves,Rapid graph layout using space filling curves,"https://scholar.google.com/scholar?cites=7085308950088721075&as_sdt=5,50&sciodt=0,50&hl=en",95
2009,10.1109/TVCG.2009.168,Multi-Scale Surface Descriptors,Multi-scale surface descriptors,"https://scholar.google.com/scholar?cites=12668620868448206329&as_sdt=5,50&sciodt=0,50&hl=en",49
2009,10.1109/TVCG.2009.184,Stress Tensor Field Visualization for Implant Planning in Orthopedics,Stress tensor field visualization for implant planning in orthopedics,"https://scholar.google.com/scholar?cites=11062379345889821023&as_sdt=5,50&sciodt=0,50&hl=en",80
2010,10.1109/TVCG.2010.215,Visualization by Proxy: A Novel Framework for Deferred Interaction with Volume Data,Visualization by proxy: A novel framework for deferred interaction with volume data,"https://scholar.google.com/scholar?cites=1771056971983143960&as_sdt=5,50&sciodt=0,50&hl=en",65
2011,10.1109/TVCG.2011.173,Automatic Transfer Functions Based on Informational Divergence,Automatic transfer functions based on informational divergence,"https://scholar.google.com/scholar?cites=2351284943686555367&as_sdt=5,50&sciodt=0,50&hl=en",82
2011,10.1109/TVCG.2011.224,Multi-Touch Table System for Medical Visualization: Application to Orthopedic Surgery Planning,Multi-touch table system for medical visualization: Application to orthopedic surgery planning,"https://scholar.google.com/scholar?cites=9009818684872065374&as_sdt=5,50&sciodt=0,50&hl=en",98
2013,10.1109/TVCG.2013.183,Perception of Average Value in Multiclass Scatterplots,Perception of average value in multiclass scatterplots,"https://scholar.google.com/scholar?cites=15601598353060576099&as_sdt=5,50&sciodt=0,50&hl=en",89
2013,10.1109/TVCG.2013.227,Visual Sedimentation,Visual sedimentation,"https://scholar.google.com/scholar?cites=4699245445287150513&as_sdt=5,50&sciodt=0,50&hl=en",86
2015,10.1109/TVCG.2015.2467194,TelCoVis: Visual Exploration of Co-occurrence in Urban Human Mobility Based on Telco Data,Telcovis: Visual exploration of co-occurrence in urban human mobility based on telco data,"https://scholar.google.com/scholar?cites=3066371909736052559&as_sdt=5,50&sciodt=0,50&hl=en",95
1994,10.1109/VISUAL.1994.346322,Strata-various: multi-layer visualization of dynamics in software system behavior,Strata-Various: Multi-layer visualization of dynamics in software system behavior,"https://scholar.google.com/scholar?cites=17205622691666605692&as_sdt=5,50&sciodt=0,50&hl=en",60
1995,10.1109/VISUAL.1995.480812,Direct rendering of Laplacian pyramid compressed volume data,Direct rendering of laplacian pyramid compressed volume data,"https://scholar.google.com/scholar?cites=13841281418511666779&as_sdt=5,50&sciodt=0,50&hl=en",78
1996,10.1109/VISUAL.1996.567609,Deformable volume rendering by 3D texture mapping and octree encoding,Deformable volume rendering by 3D texture mapping and octree encoding,"https://scholar.google.com/scholar?cites=7014385795043973893&as_sdt=5,50&sciodt=0,50&hl=en",66
1996,10.1109/VISUAL.1996.568123,Volume thinning for automatic isosurface propagation,Volume thinning for automatic isosurface propagation,"https://scholar.google.com/scholar?cites=18404763045145171337&as_sdt=5,50&sciodt=0,50&hl=en",73
2001,10.1109/VISUAL.2001.964560,"Archaeological data visualization in VR: analysis of lamp finds at the Great Temple of Petra, a case study","Archaeological data visualization in VR: Analysis of lamp finds at the Great Temple of Petra, a case study","https://scholar.google.com/scholar?cites=3026194797804975625&as_sdt=5,50&sciodt=0,50&hl=en",81
2002,10.1109/VISUAL.2002.1183752,Integration of measurement tools in medical 3d visualizations,Integration of measurement tools in medical 3d visualizations,"https://scholar.google.com/scholar?cites=5302116888045810157&as_sdt=5,50&sciodt=0,50&hl=en",79
2004,10.1109/VISUAL.2004.99,Stream line and path line oriented topology for 2D time-dependent vector fields,Stream line and path line oriented topology for 2D time-dependent vector fields,"https://scholar.google.com/scholar?cites=4844509804007718324&as_sdt=5,50&sciodt=0,50&hl=en",65
2006,10.1109/TVCG.2006.158,Lines of Curvature for Polyp Detection in Virtual Colonoscopy,Lines of curvature for polyp detection in virtual colonoscopy,"https://scholar.google.com/scholar?cites=16994427235518662328&as_sdt=5,50&sciodt=0,50&hl=en",51
2008,10.1109/TVCG.2008.149,Multi-Focused Geospatial Analysis Using Probes,Multi-focused geospatial analysis using probes,"https://scholar.google.com/scholar?cites=9621893854733643525&as_sdt=5,50&sciodt=0,50&hl=en",70
2008,10.1109/TVCG.2008.120,Direct Volume Editing,Direct volume editing,"https://scholar.google.com/scholar?cites=1431486540764067685&as_sdt=5,50&sciodt=0,50&hl=en",54
2008,10.1109/TVCG.2008.145,Interactive Visual Steering - Rapid Visual Prototyping of a Common Rail Injection System,Interactive visual steering-rapid visual prototyping of a common rail injection system,"https://scholar.google.com/scholar?cites=2528066078456700066&as_sdt=5,50&sciodt=0,50&hl=en",66
2009,10.1109/VAST.2009.5332629,Two-stage framework for visualization of clustered high dimensional data,Two-stage framework for visualization of clustered high dimensional data,"https://scholar.google.com/scholar?cites=17817307317935162856&as_sdt=5,50&sciodt=0,50&hl=en",62
2009,10.1109/TVCG.2009.166,Markerless View-Independent Registration of Multiple Distorted Projectors on Extruded Surfaces Using an Uncalibrated Camera,Markerless view-independent registration of multiple distorted projectors on extruded surfaces using an uncalibrated camera,"https://scholar.google.com/scholar?cites=13403091348303568049&as_sdt=5,50&sciodt=0,50&hl=en",61
2009,10.1109/TVCG.2009.112,A Novel Interface for Interactive Exploration of DTI Fibers,A novel interface for interactive exploration of DTI fibers,"https://scholar.google.com/scholar?cites=907078784422962437&as_sdt=5,50&sciodt=0,50&hl=en",74
2009,10.1109/TVCG.2009.170,Parameter Sensitivity Visualization for DTI Fiber Tracking,Parameter sensitivity visualization for DTI fiber tracking,"https://scholar.google.com/scholar?cites=16104233345726047543&as_sdt=5,50&sciodt=0,50&hl=en",76
2009,10.1109/TVCG.2009.204,Volume Ray Casting with Peak Finding and Differential Sampling,Volume ray casting with peak finding and differential sampling,"https://scholar.google.com/scholar?cites=17278337660680134192&as_sdt=5,50&sciodt=0,50&hl=en",73
2010,10.1109/TVCG.2010.166,Illustrative Stream Surfaces,Illustrative stream surfaces,"https://scholar.google.com/scholar?cites=11334273871829278173&as_sdt=5,50&sciodt=0,50&hl=en",75
2011,10.1109/VAST.2011.6102440,Network-based visual analysis of tabular data,Network-based visual analysis of tabular data,"https://scholar.google.com/scholar?cites=12378289767851437973&as_sdt=5,50&sciodt=0,50&hl=en",67
2012,10.1109/TVCG.2012.245,Memorability of Visual Features in Network Diagrams,Memorability of visual features in network diagrams,"https://scholar.google.com/scholar?cites=17639731062060340146&as_sdt=5,50&sciodt=0,50&hl=en",68
2012,10.1109/TVCG.2012.262,Sketchy Rendering for Information Visualization,Sketchy rendering for information visualization,"https://scholar.google.com/scholar?cites=5756668558804916686&as_sdt=5,50&sciodt=0,50&hl=en",97
2012,10.1109/TVCG.2012.271,Taxonomy-Based Glyph Design—with a Case Study on Visualizing Workflows of Biological Experiments,Taxonomy-based glyph design—with a case study on visualizing workflows of biological experiments,"https://scholar.google.com/scholar?cites=16845320532958486840&as_sdt=5,50&sciodt=0,50&hl=en",76
2013,10.1109/TVCG.2013.133,An Information-Aware Framework for Exploring Multivariate Data Sets,An information-aware framework for exploring multivariate data sets,"https://scholar.google.com/scholar?cites=9664637243225616687&as_sdt=5,50&sciodt=0,50&hl=en",80
2013,10.1109/TVCG.2013.159,Fast Generation of Virtual X-ray Images for Reconstruction of 3D Anatomy,Fast generation of virtual X-ray images for reconstruction of 3D anatomy,"https://scholar.google.com/scholar?cites=3225187536305449118&as_sdt=5,50&sciodt=0,50&hl=en",60
2013,10.1109/TVCG.2013.157,Explainers: Expert Explorations with Crafted Projections,Explainers: Expert explorations with crafted projections,"https://scholar.google.com/scholar?cites=2544712646952131583&as_sdt=5,50&sciodt=0,50&hl=en",79
2014,10.1109/TVCG.2014.2346926,Proactive Spatiotemporal Resource Allocation and Predictive Visual Analytics for Community Policing and Law Enforcement,Proactive spatiotemporal resource allocation and predictive visual analytics for community policing and law enforcement,"https://scholar.google.com/scholar?cites=18335856921340376643&as_sdt=5,50&sciodt=0,50&hl=en",90
2015,10.1109/TVCG.2015.2467671,Beyond Weber's Law: A Second Look at Ranking Visualizations of Correlation,Beyond weber's law: A second look at ranking visualizations of correlation,"https://scholar.google.com/scholar?cites=12214047542508326389&as_sdt=5,50&sciodt=0,50&hl=en",85
2015,10.1109/VAST.2015.7347637,FeatureInsight: Visual support for error-driven feature ideation in text classification,FeatureInsight: Visual support for error-driven feature ideation in text classification,"https://scholar.google.com/scholar?cites=5258365575061531032&as_sdt=5,50&sciodt=0,50&hl=en",87
2016,10.1109/TVCG.2016.2598608,Embedded Data Representations,Embedded data representations,"https://scholar.google.com/scholar?cites=7314381804016460320&as_sdt=5,50&sciodt=0,50&hl=en",160
1991,10.1109/VISUAL.1991.175796,Visualization and analysis of multi-variate data: a technique for all fields,[PDF] Visualization and analysis of multi-variate data: a technique for all fields,"https://scholar.google.com/scholar?cites=2064099352286165676&as_sdt=5,50&sciodt=0,50&hl=en",70
1996,10.1109/VISUAL.1996.567602,BLaC-wavelets: a multiresolution analysis with non-nested spaces,Blac-wavelets: a multiresolution analysis with non-nested spaces,"https://scholar.google.com/scholar?cites=14740379071975807298&as_sdt=5,50&sciodt=0,50&hl=en",73
1997,10.1109/VISUAL.1997.663891,VizWiz: a Java applet for interactive 3D scientific visualization on the Web,Vizwiz: a java applet for interactive 3d scientific visualization on the web,"https://scholar.google.com/scholar?cites=9446497069155140245&as_sdt=5,50&sciodt=0,50&hl=en",63
2001,10.1109/VISUAL.2001.964505,Quantitative comparative evaluation of 2D vector field visualization methods,Quantitative comparative evaluation of 2D vector field visualization methods,"https://scholar.google.com/scholar?cites=2816458166373408210&as_sdt=5,50&sciodt=0,50&hl=en",68
2001,10.1109/VISUAL.2001.964529,Normal bounds for subdivision-surface interference detection,Normal bounds for subdivision-surface interference detection,"https://scholar.google.com/scholar?cites=12072388441038491780&as_sdt=5,50&sciodt=0,50&hl=en",58
2002,10.1109/VISUAL.2002.1183786,Computing singularities of 3D vector fields with geometric algebra,Computing singularities of 3D vector fields with geometric algebra,"https://scholar.google.com/scholar?cites=7972706011227054425&as_sdt=5,50&sciodt=0,50&hl=en",59
2002,10.1109/VISUAL.2002.1183790,Comparative evaluation of visualization and experimental results using image comparison metrics,Comparative evaluation of visualization and experimental results using image comparison metrics,"https://scholar.google.com/scholar?cites=1325513171325986977&as_sdt=5,50&sciodt=0,50&hl=en",75
2004,10.1109/VISUAL.2004.18,Constrained inverse volume rendering for planetary nebulae,Constrained inverse volume rendering for planetary nebulae,"https://scholar.google.com/scholar?cites=14063670577787416404&as_sdt=5,50&sciodt=0,50&hl=en",50
2005,10.1109/VISUAL.2005.1532787,A shader-based parallel rendering framework,A shader-based parallel rendering framework,"https://scholar.google.com/scholar?cites=6399281394633515935&as_sdt=5,50&sciodt=0,50&hl=en",63
2006,10.1109/TVCG.2006.163,Multi-Scale Banking to 45 Degrees,Multi-scale banking to 45 degrees,"https://scholar.google.com/scholar?cites=9386472000086011264&as_sdt=5,50&sciodt=0,50&hl=en",84
2006,10.1109/VAST.2006.261423,Pixnostics: Towards Measuring the Value of Visualization,Pixnostics: Towards measuring the value of visualization,"https://scholar.google.com/scholar?cites=13372690350995426994&as_sdt=5,50&sciodt=0,50&hl=en",62
2006,10.1109/TVCG.2006.162,Mesh Layouts for Block-Based Caches,Mesh layouts for block-based caches,"https://scholar.google.com/scholar?cites=3368104249272743457&as_sdt=5,50&sciodt=0,50&hl=en",58
2007,10.1109/TVCG.2007.70597,Stochastic DT-MRI Connectivity Mapping on the GPU,Stochastic DT-MRI connectivity mapping on the GPU,"https://scholar.google.com/scholar?cites=9999819526287667020&as_sdt=5,50&sciodt=0,50&hl=en",55
2007,10.1109/TVCG.2007.70599,Texture-based feature tracking for effective time-varying data visualization,Texture-based feature tracking for effective time-varying data visualization,"https://scholar.google.com/scholar?cites=11856015511073636472&as_sdt=5,50&sciodt=0,50&hl=en",68
2008,10.1109/TVCG.2008.132,Focus+Context Visualization with Distortion Minimization,Focus+ context visualization with distortion minimization,"https://scholar.google.com/scholar?cites=18063974639418108023&as_sdt=5,50&sciodt=0,50&hl=en",57
2009,10.1109/TVCG.2009.142,Exploring the Millennium Run - Scalable Rendering of Large-Scale Cosmological Datasets,Exploring the millennium run-scalable rendering of large-scale cosmological datasets,"https://scholar.google.com/scholar?cites=2630728060676657636&as_sdt=5,50&sciodt=0,50&hl=en",69
2010,10.1109/TVCG.2010.197,Stacking Graphic Elements to Avoid Over-Plotting,Stacking graphic elements to avoid over-plotting,"https://scholar.google.com/scholar?cites=7666105598926699348&as_sdt=5,50&sciodt=0,50&hl=en",81
2012,10.1109/TVCG.2012.229,Graphical Overlays: Using Layered Elements to Aid Chart Reading,Graphical overlays: Using layered elements to aid chart reading,"https://scholar.google.com/scholar?cites=8239866602957279574&as_sdt=5,50&sciodt=0,50&hl=en",75
2013,10.1109/TVCG.2013.184,Radial Sets: Interactive Visual Analysis of Large Overlapping Sets,Radial sets: Interactive visual analysis of large overlapping sets,"https://scholar.google.com/scholar?cites=5993504611946706835&as_sdt=5,50&sciodt=0,50&hl=en",94
2014,10.1109/VAST.2014.7042477,Feature-driven visual analytics of soccer data,Feature-driven visual analytics of soccer data,"https://scholar.google.com/scholar?cites=10599084298473932091&as_sdt=5,50&sciodt=0,50&hl=en",98
2015,10.1109/TVCG.2015.2467112,"Visualization, Selection, and Analysis of Traffic Flows","Visualization, selection, and analysis of traffic flows","https://scholar.google.com/scholar?cites=17793993779269137572&as_sdt=5,50&sciodt=0,50&hl=en",95
2015,10.1109/TVCG.2015.2467621,CiteRivers: Visual Analytics of Citation Patterns,CiteRivers: Visual analytics of citation patterns,"https://scholar.google.com/scholar?cites=10038287250704546564&as_sdt=5,50&sciodt=0,50&hl=en",94
2016,10.1109/TVCG.2016.2599041,OSPRay - A CPU Ray Tracing Framework for Scientific Visualization,OSPRay-a CPU ray tracing framework for scientific visualization,"https://scholar.google.com/scholar?cites=7152069103145516502&as_sdt=5,50&sciodt=0,50&hl=en",172
2016,10.1109/TVCG.2016.2598416,SemanticTraj: A New Approach to Interacting with Massive Taxi Trajectories,Semantictraj: A new approach to interacting with massive taxi trajectories,"https://scholar.google.com/scholar?cites=14679847806671496342&as_sdt=5,50&sciodt=0,50&hl=en",84
2017,10.1109/TVCG.2017.2745941,The Hologram in My Hand: How Effective is Interactive Exploration of 3D Visualizations in Immersive Tangible Augmented Reality?,The hologram in my hand: How effective is interactive exploration of 3D visualizations in immersive tangible augmented reality?,"https://scholar.google.com/scholar?cites=11826275988058500921&as_sdt=5,50&sciodt=0,50&hl=en",192
1990,10.1109/VISUAL.1990.146381,Methods for surface interrogation,Methods for surface interrogation,"https://scholar.google.com/scholar?cites=14318277484868978037&as_sdt=5,50&sciodt=0,50&hl=en",55
1994,10.1109/VISUAL.1994.346307,Approximation of isosurface in the Marching Cube: ambiguity problem,Approximation of isosurface in the marching cube: ambiguity problem,"https://scholar.google.com/scholar?cites=35687400586379804&as_sdt=5,50&sciodt=0,50&hl=en",82
1997,10.1109/VISUAL.1997.663878,Two-phase perspective ray casting for interactive volume navigation,Two-phase perspective ray casting for interactive volume navigation,"https://scholar.google.com/scholar?cites=16698074223010595356&as_sdt=5,50&sciodt=0,50&hl=en",64
1998,10.1109/VISUAL.1998.745289,Feature detection in linked derived spaces,Feature detection in linked derived spaces,"https://scholar.google.com/scholar?cites=698320378633586843&as_sdt=5,50&sciodt=0,50&hl=en",62
1999,10.1109/VISUAL.1999.809906,PLIC: bridging the gap between streamlines and LIC,PLIC: Bridging the gap between streamlines and LIC,"https://scholar.google.com/scholar?cites=3035834140345974231&as_sdt=5,50&sciodt=0,50&hl=en",82
2000,10.1109/INFVIS.2000.885101,New methods for the visualization of electric power system information,New methods for the visualization of electric power system information,"https://scholar.google.com/scholar?cites=8434286580754513230&as_sdt=5,50&sciodt=0,50&hl=en",80
2000,10.1109/VISUAL.2000.885688,A level-set method for flow visualization,A level-set method for flow visualization,"https://scholar.google.com/scholar?cites=15011726656939778278&as_sdt=5,50&sciodt=0,50&hl=en",77
2002,10.1109/VISUAL.2002.1183792,Sea of images,Sea of images,"https://scholar.google.com/scholar?cites=6101533639327592264&as_sdt=5,50&sciodt=0,50&hl=en",63
2006,10.1109/VAST.2006.261437,Accelerating Network Traffic Analytics Using Query-Driven Visualization,Accelerating network traffic analytics using query-driven visualization,"https://scholar.google.com/scholar?cites=12186262645861197778&as_sdt=5,50&sciodt=0,50&hl=en",63
2007,10.1109/TVCG.2007.70596,Spatialization Design: Comparing Points and Landscapes,Spatialization design: Comparing points and landscapes,"https://scholar.google.com/scholar?cites=5043242398199733992&as_sdt=5,50&sciodt=0,50&hl=en",69
2007,10.1109/TVCG.2007.70532,Visualizing Whole-Brain DTI Tractography with GPU-based Tuboids and LoD Management,Visualizing whole-brain DTI tractography with GPU-based tuboids and LoD management,"https://scholar.google.com/scholar?cites=8028473913760727676&as_sdt=5,50&sciodt=0,50&hl=en",67
2007,10.1109/TVCG.2007.70586,Registration Techniques for Using Imperfect and Par tially Calibrated Devices in Planar Multi-Projector Displays,Registration techniques for using imperfect and par tially calibrated devices in planar multi-projector displays,"https://scholar.google.com/scholar?cites=2982236059813579166&as_sdt=5,50&sciodt=0,50&hl=en",74
2009,10.1109/TVCG.2009.181,Smooth Graphs for Visual Exploration of Higher-Order State Transitions,Smooth graphs for visual exploration of higher-order state transitions,"https://scholar.google.com/scholar?cites=2065609109336300509&as_sdt=5,50&sciodt=0,50&hl=en",57
2009,10.1109/TVCG.2009.152,Interactive Coordinated Multiple-View Visualization of Biomechanical Motion Data,Interactive coordinated multiple-view visualization of biomechanical motion data,"https://scholar.google.com/scholar?cites=1266837313902577230&as_sdt=5,50&sciodt=0,50&hl=en",83
2009,10.1109/TVCG.2009.195,VisMashup: Streamlining the Creation of Custom Visualization Applications,Vismashup: Streamlining the creation of custom visualization applications,"https://scholar.google.com/scholar?cites=11565714515415298508&as_sdt=5,50&sciodt=0,50&hl=en",61
2011,10.1109/TVCG.2011.197,Exploring Uncertainty in Geodemographics with Interactive Graphics,Exploring uncertainty in geodemographics with interactive graphics,"https://scholar.google.com/scholar?cites=9200070129543481003&as_sdt=5,50&sciodt=0,50&hl=en",81
2011,10.1109/TVCG.2011.162,Adaptive Extraction and Quantification of Geophysical Vortices,Adaptive extraction and quantification of geophysical vortices,"https://scholar.google.com/scholar?cites=13251595685687109970&as_sdt=5,50&sciodt=0,50&hl=en",85
2011,10.1109/TVCG.2011.203,Flow Radar Glyphs—Static Visualization of Unsteady Flow with Uncertainty,Flow radar glyphs—static visualization of unsteady flow with uncertainty,"https://scholar.google.com/scholar?cites=4843054874459253997&as_sdt=5,50&sciodt=0,50&hl=en",88
2012,10.1109/TVCG.2012.272,The DeepTree Exhibit: Visualizing the Tree of Life to Facilitate Informal Learning,The deeptree exhibit: Visualizing the tree of life to facilitate informal learning,"https://scholar.google.com/scholar?cites=16700473509657055652&as_sdt=5,50&sciodt=0,50&hl=en",85
2012,10.1109/VAST.2012.6400553,Visual analytics methods for categoric spatio-temporal data,Visual analytics methods for categoric spatio-temporal data,"https://scholar.google.com/scholar?cites=9651545879988768899&as_sdt=5,50&sciodt=0,50&hl=en",99
2012,10.1109/VAST.2012.6400559,"Analyst's Workspace: An embodied sensemaking environment for large, high-resolution displays","Analyst's Workspace: An embodied sensemaking environment for large, high-resolution displays","https://scholar.google.com/scholar?cites=14095316715939303560&as_sdt=5,50&sciodt=0,50&hl=en",72
2013,10.1109/TVCG.2013.193,Space Transformation for Understanding Group Movement,Space transformation for understanding group movement,"https://scholar.google.com/scholar?cites=1202964933448568535&as_sdt=5,50&sciodt=0,50&hl=en",66
2016,10.1109/TVCG.2016.2598468,Characterizing Guidance in Visual Analytics,Characterizing guidance in visual analytics,"https://scholar.google.com/scholar?cites=17328152318838622773&as_sdt=5,50&sciodt=0,50&hl=en",161
1990,10.1109/VISUAL.1990.146374,Classifying visual knowledge representations: a foundation for visualization research,Classifying visual knowledge representations: A foundation for visualization research,"https://scholar.google.com/scholar?cites=4508435847913782393&as_sdt=5,50&sciodt=0,50&hl=en",65
1990,10.1109/VISUAL.1990.146395,Automatic illustration of 3D geometric models: surfaces,Automatic illustration of 3D geometric models: Surfaces,"https://scholar.google.com/scholar?cites=4188295763250523421&as_sdt=5,50&sciodt=0,50&hl=en",62
1992,10.1109/VISUAL.1992.235226,Rendering surface-particles,Rendering surface-particles,"https://scholar.google.com/scholar?cites=12902374972985703799&as_sdt=5,50&sciodt=0,50&hl=en",72
1995,10.1109/VISUAL.1995.480813,Automatic generation of triangular irregular networks using greedy cuts,Automatic generation of triangular irregular networks using greedy cuts,"https://scholar.google.com/scholar?cites=18153838607227412995&as_sdt=5,50&sciodt=0,50&hl=en",67
1997,10.1109/VISUAL.1997.663858,Visualization of higher order singularities in vector fields,Visualization of higher order singularities in vector fields,"https://scholar.google.com/scholar?cites=4824148028958176436&as_sdt=5,50&sciodt=0,50&hl=en",109
1997,10.1109/VISUAL.1997.663866,Multivariate visualization using metric scaling,Multivariate visualization using metric scaling,"https://scholar.google.com/scholar?cites=7436373962207394909&as_sdt=5,50&sciodt=0,50&hl=en",68
1997,10.1109/VISUAL.1997.663899,The motion map: efficient computation of steady flow animations,The motion map: efficient computation of steady flow animations,"https://scholar.google.com/scholar?cites=10718174863905163927&as_sdt=5,50&sciodt=0,50&hl=en",85
1998,10.1109/VISUAL.1998.745322,Interactive display of very large textures,[BOOK] Interactive display of very large textures,"https://scholar.google.com/scholar?cites=14859421559007569314&as_sdt=5,50&sciodt=0,50&hl=en",86
1999,10.1109/INFVIS.1999.801853,Sensemaking of evolving Web sites using visualization spreadsheets,Sensemaking of evolving web sites using visualization spreadsheets,"https://scholar.google.com/scholar?cites=16881446888966539905&as_sdt=5,50&sciodt=0,50&hl=en",65
1999,10.1109/VISUAL.1999.809870,Efficient compression of non-manifold polygonal meshes,Efficient compression of non-manifold polygonal meshes,"https://scholar.google.com/scholar?cites=10661655610955524714&as_sdt=5,50&sciodt=0,50&hl=en",91
1999,10.1109/VISUAL.1999.809911,High performance presence-accelerated ray casting,High performance presence-accelerated ray casting,"https://scholar.google.com/scholar?cites=11405432672589734027&as_sdt=5,50&sciodt=0,50&hl=en",59
2000,10.1109/VISUAL.2000.885681,"Tetrahedron based, least squares, progressive volume models with application to freehand ultrasound data","Tetrahedron based, least squares, progressive volume models with application to freehand ultrasound data","https://scholar.google.com/scholar?cites=890384815607869074&as_sdt=5,50&sciodt=0,50&hl=en",46
2000,10.1109/VISUAL.2000.885718,New techniques for topologically correct surface reconstruction,New techniques for topologically correct surface reconstruction,"https://scholar.google.com/scholar?cites=17009885298542232621&as_sdt=5,50&sciodt=0,50&hl=en",65
