Conference,Year,Title,DOI,FirstPage,LastPage,PaperType,OpenAlex Year,OpenAlex Publication Date,OpenAlex ID,OpenAlex Venue Name,OpenAlex First Page,OpenAlex Last Page,Number of Pages,Number of References,Number of Concepts,Number of Citations,Number of Authors,Cross-type Collaboration,Cross-country Collaboration,With US Authors,Both Cross-type and Cross-country Collaboration,IEEE Title,Citation Counts on Google Scholar,Award,Award Name,Award Track
Vis,1997,Visualization of large terrains in resource-limited computing environments,10.1109/VISUAL.1997.663863,95,102,C,1997,1997-01-01,W3151029127,ieee visualization,95.0,102.0,8.0,9,6,30,2.0,False,False,False,False,Visualization of large terrains in resource-limited computing environments,92,False,,
Vis,1999,Mixing translucent polygons with volumes,10.1109/VISUAL.1999.809887,191,525,C,1999,1999-10-24,W2144304411,ieee visualization,191.0,198.0,8.0,23,12,56,2.0,False,False,True,False,Mixing translucent polygons with volumes,117,False,,
Vis,1999,Volume rendering based interactive navigation within the human colon,10.1109/VISUAL.1999.809914,397,549,C,1999,1999-10-25,W1870642593,ieee visualization,397.0,549.0,153.0,17,15,54,5.0,False,False,True,False,Volume rendering based interactive navigation within the human colon,92,False,,
InfoVis,2003,Exploring high-D spaces with multiform matrices and small multiples,10.1109/INFVIS.2003.1249006,31,38,C,2003,2003-10-19,W1487235154,ieee symposium on information visualization,31.0,38.0,8.0,50,13,70,5.0,False,False,True,False,Exploring high-D spaces with multiform matrices and small multiples,129,False,,
Vis,2004,Investigating swirl and tumble flow with a comparison of visualization techniques,10.1109/VISUAL.2004.59,51,58,C,2004,2004-10-10,W2532599107,ieee visualization,51.0,58.0,8.0,27,10,67,4.0,True,True,False,True,Investigating swirl and tumble flow with a comparison of visualization techniques,107,False,,
VAST,2006,Beyond Usability: Evaluation Aspects of Visual Analytic Environments,10.1109/VAST.2006.261416,145,150,C,2006,2006-12-26,W2148269024,visual analytics science and technology,145.0,150.0,6.0,19,13,71,1.0,False,False,True,False,Beyond Usability: Evaluation Aspects of Visual Analytic Environments,124,False,,
Vis,2006,"Multi-variate, Time Varying, and Comparative Visualization with Contextual Cues",10.1109/TVCG.2006.164,909,916,J,2006,2006-09-01,W2169166445,IEEE Transactions on Visualization and Computer Graphics,909.0,916.0,8.0,22,15,63,2.0,False,False,True,False,"Multi-variate, Time Varying, and Comparative Visualization with Contextual Cues",114,False,,
VAST,2008,Visual analytics for complex concepts using a human cognition model,10.1109/VAST.2008.4677361,91,98,C,2008,2008-11-18,W1975411458,visual analytics science and technology,91.0,98.0,8.0,32,13,73,3.0,False,True,True,False,Visual analytics for complex concepts using a human cognition model,113,False,,
InfoVis,2011,Brushing Dimensions - A Dual Visual Analysis Model for High-Dimensional Data,10.1109/TVCG.2011.178,2591,2599,J,2011,2011-12-01,W2153312812,IEEE Transactions on Visualization and Computer Graphics,2591.0,2599.0,9.0,38,11,70,3.0,False,True,False,False,Brushing Dimensions - A Dual Visual Analysis Model for High-Dimensional Data,123,False,,
VAST,2011,Visual analysis of route diversity,10.1109/VAST.2011.6102455,171,180,C,2011,2011-12-15,W2062037128,visual analytics science and technology,171.0,180.0,10.0,28,10,82,6.0,False,False,False,False,Visual analysis of route diversity,130,False,,
VAST,2014,Opening the Black Box: Strategies for Increased User Involvement in Existing Algorithm Implementations,10.1109/TVCG.2014.2346578,1643,1652,J,2014,2014-11-06,W2010058478,IEEE Transactions on Visualization and Computer Graphics,1643.0,1652.0,10.0,52,13,97,5.0,True,False,False,False,Opening the Black Box: Strategies for Increased User Involvement in Existing Algorithm Implementations,150,False,,
Vis,1994,Visualizing 3D velocity fields near contour surfaces,10.1109/VISUAL.1994.346312,248,"255, C28",C,1994,1994-10-17,W2137812155,ieee visualization,248.0,255.0,8.0,10,15,60,3.0,False,False,True,False,Visualizing 3D velocity fields near contour surfaces,111,False,,
Vis,1995,Compression domain rendering of time-resolved volume data,10.1109/VISUAL.1995.480809,168,"175, 450",C,1995,1995-10-29,W2106016501,ieee visualization,168.0,175.0,8.0,20,9,60,1.0,False,False,True,False,Compression domain rendering of time-resolved volume data,112,False,,
Vis,1996,Cheops: a compact explorer for complex hierarchies,10.1109/VISUAL.1996.567745,87,92,C,1996,1996-10-27,W2096697416,ieee visualization,87.0,92.0,6.0,9,9,51,3.0,False,False,False,False,Cheops: a compact explorer for complex hierarchies,106,False,,
Vis,1997,Interactive volume rendering for virtual colonoscopy,10.1109/VISUAL.1997.663915,433,436,C,1997,1997-10-01,W2155151793,ieee visualization,433.0,436.0,4.0,10,14,43,9.0,False,False,True,False,Interactive volume rendering for virtual colonoscopy,87,False,,
InfoVis,1998,WEBPATH-a three dimensional Web history,10.1109/INFVIS.1998.729553,3,"10, 148",C,1998,1998-10-19,W2146680453,ieee symposium on information visualization,3.0,10.0,8.0,13,10,44,2.0,True,True,False,True,WEBPATH-a three dimensional Web history,81,False,,
Vis,2003,Clifford convolution and pattern matching on vector fields,10.1109/VISUAL.2003.1250372,193,200,C,2003,2003-10-22,W2104744826,ieee visualization,26.0,,,14,14,65,2.0,False,False,False,False,Clifford convolution and pattern matching on vector fields,116,False,,
Vis,2006,High-Quality Extraction of Isosurfaces from Regular and Irregular Grids,10.1109/TVCG.2006.149,1205,1212,J,2006,2006-09-01,W2148715821,IEEE Transactions on Visualization and Computer Graphics,1205.0,1212.0,8.0,55,15,68,3.0,False,False,True,False,High-Quality Extraction of Isosurfaces from Regular and Irregular Grids,113,False,,
Vis,2008,Brushing of Attribute Clouds for the Visualization of Multivariate Data,10.1109/TVCG.2008.116,1459,1466,J,2008,2008-11-01,W2162205142,IEEE Transactions on Visualization and Computer Graphics,1459.0,1466.0,8.0,23,11,62,3.0,True,False,False,False,Brushing of Attribute Clouds for the Visualization of Multivariate Data,100,False,,
InfoVis,2011,Human-Centered Approaches in Geovisualization Design: Investigating Multiple Methods Through a Long-Term Case Study,10.1109/TVCG.2011.209,2498,2507,J,2011,2011-12-01,W2161114148,IEEE Transactions on Visualization and Computer Graphics,2498.0,2507.0,10.0,66,10,89,2.0,False,False,False,False,Human-Centered Approaches in Geovisualization Design: Investigating Multiple Methods Through a Long-Term Case Study,131,False,,
Vis,2011,WYSIWYG (What You See is What You Get) Volume Visualization,10.1109/TVCG.2011.261,2106,2114,J,2011,2011-12-01,W2151583791,IEEE Transactions on Visualization and Computer Graphics,2106.0,2114.0,9.0,40,10,71,3.0,False,False,False,False,WYSIWYG (What You See is What You Get) Volume Visualization,115,False,,
VAST,2012,Subspace search and visualization to make sense of alternative clusterings in high-dimensional data,10.1109/VAST.2012.6400488,63,72,C,2012,2012-10-14,W2028678069,visual analytics science and technology,63.0,72.0,10.0,34,14,75,7.0,False,False,False,False,Subspace search and visualization to make sense of alternative clusterings in high-dimensional data,121,False,,
InfoVis,2014,Learning Perceptual Kernels for Visualization Design,10.1109/TVCG.2014.2346978,1933,1942,J,2014,2014-12-01,W2058199791,IEEE Transactions on Visualization and Computer Graphics,1933.0,1942.0,10.0,46,12,90,3.0,False,False,True,False,Learning Perceptual Kernels for Visualization Design,120,False,,
InfoVis,2014,A Principled Way of Assessing Visualization Literacy,10.1109/TVCG.2014.2346984,1963,1972,J,2014,2014-11-06,W2050674259,IEEE Transactions on Visualization and Computer Graphics,1963.0,1972.0,10.0,29,10,119,4.0,True,True,True,True,A Principled Way of Assessing Visualization Literacy,210,False,,
SciVis,2014,City Forensics: Using Visual Elements to Predict Non-Visual City Attributes,10.1109/TVCG.2014.2346446,2624,2633,J,2014,2014-11-06,W2007027649,IEEE Transactions on Visualization and Computer Graphics,2624.0,2633.0,10.0,41,11,101,4.0,False,False,True,False,City Forensics: Using Visual Elements to Predict Non-Visual City Attributes,155,True,HM,SciVis
Vis,1997,Architectural walkthroughs using portal textures,10.1109/VISUAL.1997.663903,355,362,C,1997,1997-10-01,W2136502070,ieee visualization,355.0,362.0,8.0,14,7,54,2.0,False,False,True,False,Architectural walkthroughs using portal textures,123,False,,
Vis,1998,Simplification of tetrahedral meshes,10.1109/VISUAL.1998.745315,287,295,C,1998,1998-01-01,W3144721543,ieee visualization,287.0,295.0,9.0,14,4,29,4.0,False,False,True,False,Simplification of tetrahedral meshes,99,False,,
Vis,1998,Real-time techniques for 3D flow visualization,10.1109/VISUAL.1998.745317,305,312,C,1998,1998-10-18,W2134263360,ieee visualization,305.0,312.0,8.0,28,11,59,2.0,False,False,False,False,Real-time techniques for 3D flow visualization,150,False,,
InfoVis,2004,A History Mechanism for Visual Data Mining,10.1109/INFVIS.2004.2,49,56,C,2004,2004-10-10,W2143622779,ieee symposium on information visualization,49.0,56.0,8.0,16,8,62,3.0,True,False,False,False,A History Mechanism for Visual Data Mining,99,False,,
Vis,2005,Illustration-inspired techniques for visualizing time-varying data,10.1109/VISUAL.2005.1532857,679,686,C,2005,2005-11-21,W2163713174,ieee visualization,679.0,686.0,8.0,26,9,68,2.0,False,False,True,False,Illustration-inspired techniques for visualizing time-varying data,120,False,,
VAST,2010,Anomaly detection in GPS data based on visual analytics,10.1109/VAST.2010.5652467,51,58,C,2010,2010-12-10,W2167538453,visual analytics science and technology,51.0,58.0,8.0,25,13,64,3.0,True,True,True,True,Anomaly detection in GPS data based on visual analytics,93,False,,
VAST,2010,Understanding text corpora with multiple facets,10.1109/VAST.2010.5652931,99,106,C,2010,2010-12-10,W1979863690,visual analytics science and technology,99.0,106.0,8.0,26,12,50,6.0,False,True,True,False,Understanding text corpora with multiple facets,87,False,,
InfoVis,2011,Context-Preserving Visual Links,10.1109/TVCG.2011.183,2249,2258,J,2011,2011-12-01,W2159729957,IEEE Transactions on Visualization and Computer Graphics,2249.0,2258.0,10.0,29,11,76,5.0,False,False,False,False,Context-Preserving Visual Links,121,True,BP,InfoVis
VAST,2011,Characterizing the intelligence analysis process: Informing visual analytics design through a longitudinal field study,10.1109/VAST.2011.6102438,21,30,C,2011,2011-12-15,W1995144346,visual analytics science and technology,21.0,30.0,10.0,19,13,65,2.0,False,False,True,False,Characterizing the intelligence analysis process: Informing visual analytics design through a longitudinal field study,108,False,,
InfoVis,2016,Immersive Collaborative Analysis of Network Connectivity: CAVE-style or Head-Mounted Display?,10.1109/TVCG.2016.2599107,441,450,J,2017,2017-01-01,W2518340594,IEEE Transactions on Visualization and Computer Graphics,441.0,450.0,10.0,37,8,113,6.0,False,True,True,False,Immersive Collaborative Analysis of Network Connectivity: CAVE-style or Head-Mounted Display?,166,False,,
Vis,1997,Interval volume tetrahedrization,10.1109/VISUAL.1997.663886,221,228,C,1997,1997-10-01,W1987422110,ieee visualization,221.0,228.0,8.0,6,12,52,2.0,False,False,True,False,Interval volume tetrahedrization,104,False,,
Vis,1998,Continuous cartogram construction,10.1109/VISUAL.1998.745303,197,204,C,1998,1998-10-18,W2007701319,ieee visualization,197.0,204.0,8.0,11,10,59,2.0,False,False,True,False,Continuous cartogram construction,117,False,,
Vis,1999,Isosurface extraction techniques for Web-based volume visualization,10.1109/VISUAL.1999.809878,139,519,C,1999,1999-10-24,W2546111618,ieee visualization,139.0,146.0,8.0,26,14,59,3.0,False,True,True,False,Isosurface extraction techniques for Web-based volume visualization,100,False,,
Vis,2001,Lagrangian-Eulerian Advection for Unsteady Flow Visualization,10.1109/VISUAL.2001.964493,53,60,C,2001,2001-10-21,W2016966772,ieee visualization,53.0,60.0,8.0,11,14,56,3.0,False,False,True,False,Lagrangian-Eulerian advection for unsteady flow visualization,109,False,,
VAST,2006,Semantic Image Browser: Bridging Information Visualization with Automated Intelligent Image Analysis,10.1109/VAST.2006.261425,191,198,C,2006,2006-12-26,W2168543113,visual analytics science and technology,191.0,198.0,8.0,22,10,58,7.0,False,False,True,False,Semantic Image Browser: Bridging Information Visualization with Automated Intelligent Image Analysis,98,False,,
Vis,2009,Exploring 3D DTI fiber Tracts with Linked 2D Representations,10.1109/TVCG.2009.141,1449,1456,J,2009,2009-11-01,W2157931324,IEEE Transactions on Visualization and Computer Graphics,1449.0,1456.0,8.0,42,11,70,3.0,False,False,True,False,Exploring 3D DTI Fiber Tracts with Linked 2D Representations,106,False,,
InfoVis,2012,Understanding Pen and Touch Interaction for Data Exploration on Interactive Whiteboards,10.1109/TVCG.2012.275,2779,2788,J,2012,2012-12-01,W2145817751,IEEE Transactions on Visualization and Computer Graphics,2779.0,2788.0,10.0,40,13,69,5.0,True,True,True,True,Understanding Pen and Touch Interaction for Data Exploration on Interactive Whiteboards,103,False,,
InfoVis,2013,A Deeper Understanding of Sequence in Narrative Visualization,10.1109/TVCG.2013.119,2406,2415,J,2013,2013-12-01,W1980209219,IEEE Transactions on Visualization and Computer Graphics,2406.0,2415.0,10.0,31,11,115,6.0,True,False,True,False,A Deeper Understanding of Sequence in Narrative Visualization,197,False,,
InfoVis,2014,Origin-Destination Flow Data Smoothing and Mapping,10.1109/TVCG.2014.2346271,2043,2052,J,2014,2014-11-06,W2090659086,IEEE Transactions on Visualization and Computer Graphics,2043.0,2052.0,10.0,43,7,91,2.0,False,False,True,False,Origin-Destination Flow Data Smoothing and Mapping,149,False,,
InfoVis,2015,Time Curves: Folding Time to Visualize Patterns of Temporal Evolution in Data,10.1109/TVCG.2015.2467851,559,568,J,2016,2016-01-31,W2150231912,IEEE Transactions on Visualization and Computer Graphics,559.0,568.0,10.0,48,11,109,6.0,True,True,True,True,Time Curves: Folding Time to Visualize Patterns of Temporal Evolution in Data,172,False,,
VAST,2016,SmartAdP: Visual Analytics of Large-scale Taxi Trajectories for Selecting Billboard Locations,10.1109/TVCG.2016.2598432,1,10,J,2017,2017-01-01,W2495571292,IEEE Transactions on Visualization and Computer Graphics,1.0,10.0,10.0,45,15,123,7.0,True,True,True,True,SmartAdP: Visual Analytics of Large-scale Taxi Trajectories for Selecting Billboard Locations,143,False,,
Vis,1998,Isosurface extraction in time-varying fields using a temporal hierarchical index tree,10.1109/VISUAL.1998.745298,159,166,C,1998,1998-10-18,W2534349997,ieee visualization,159.0,166.0,8.0,20,14,57,1.0,False,False,True,False,Isosurface extraction in time-varying fields using a temporal hierarchical index tree,103,False,,
Vis,2001,A complete distance field representation,10.1109/VISUAL.2001.964518,247,254,C,2001,2001-10-21,W2535575059,ieee visualization,247.0,254.0,8.0,22,16,50,5.0,True,False,True,False,A complete distance field representation,79,False,,
Vis,2003,A texture-based framework for spacetime-coherent visualization of time-dependent vector fields,10.1109/VISUAL.2003.1250361,107,114,C,2003,2003-10-22,W2101092654,ieee visualization,15.0,,,23,7,57,3.0,False,True,True,False,A texture-based framework for spacetime-coherent visualization of time-dependent vector fields,82,False,,
Vis,2003,Effectively visualizing multi-valued flow data using color and texture,10.1109/VISUAL.2003.1250362,115,121,C,2003,2003-10-22,W2144995353,ieee visualization,16.0,,,25,7,64,5.0,False,False,True,False,Effectively visualizing multi-valued flow data using color and texture,95,False,,
Vis,2004,Linear and cubic box splines for the body centered cubic lattice,10.1109/VISUAL.2004.65,11,18,C,2004,2004-10-10,W2121698026,ieee visualization,11.0,18.0,8.0,21,12,60,3.0,False,False,False,False,Linear and cubic box splines for the body centered cubic lattice,88,False,,
Vis,2004,Scout: a hardware-accelerated system for quantitatively driven visualization and analysis,10.1109/VISUAL.2004.95,171,178,C,2004,2004-10-10,W2133420504,ieee visualization,171.0,178.0,8.0,22,9,58,5.0,True,False,True,False,Scout: a hardware-accelerated system for quantitatively driven visualization and analysis,107,False,,
InfoVis,2006,Spatial Analysis of News Sources,10.1109/TVCG.2006.179,765,772,J,2006,2006-09-01,W2134685109,IEEE Transactions on Visualization and Computer Graphics,765.0,772.0,8.0,16,7,57,5.0,False,False,True,False,Spatial Analysis of News Sources,84,False,,
Vis,2006,A Novel Visualization Model for Web Search Results,10.1109/TVCG.2006.111,981,988,J,2006,2006-09-01,W2146679896,IEEE Transactions on Visualization and Computer Graphics,981.0,988.0,8.0,30,9,57,2.0,False,False,True,False,A Novel Visualization Model for Web Search Results,97,False,,
Vis,2007,Similarity-Guided Streamline Placement with Error Evaluation,10.1109/TVCG.2007.70595,1448,1455,J,2007,2007-11-01,W2126565921,IEEE Transactions on Visualization and Computer Graphics,1448.0,1455.0,8.0,18,9,70,3.0,True,False,True,False,Similarity-Guided Streamline Placement with Error Evaluation,125,False,,
InfoVis,2009,ResultMaps: Visualization for Search Interfaces,10.1109/TVCG.2009.176,1057,1064,J,2009,2009-11-01,W2024351142,IEEE Transactions on Visualization and Computer Graphics,1057.0,1064.0,8.0,37,9,64,3.0,False,False,True,False,ResultMaps: Visualization for Search Interfaces,102,False,,
VAST,2009,Capturing and supporting the analysis process,10.1109/VAST.2009.5333020,131,138,C,2009,2009-11-13,W2042044826,visual analytics science and technology,131.0,138.0,8.0,20,17,65,8.0,False,False,False,False,Capturing and supporting the analysis process,104,False,,
Vis,2010,Efficient High-Quality Volume Rendering of SPH Data,10.1109/TVCG.2010.148,1533,1540,J,2010,2010-11-01,W2141827635,IEEE Transactions on Visualization and Computer Graphics,1533.0,1540.0,8.0,38,11,59,3.0,False,False,False,False,Efficient High-Quality Volume Rendering of SPH Data,106,False,,
Vis,2010,Uncertainty-Aware Guided Volume Segmentation,10.1109/TVCG.2010.208,1358,1365,J,2010,2010-11-01,W2101099609,IEEE Transactions on Visualization and Computer Graphics,1358.0,1365.0,8.0,39,16,74,3.0,False,False,False,False,Uncertainty-Aware Guided Volume Segmentation,109,False,,
VAST,2014,Visual Exploration of Sparse Traffic Trajectory Data,10.1109/TVCG.2014.2346746,1813,1822,J,2014,2014-11-06,W2090747210,IEEE Transactions on Visualization and Computer Graphics,1813.0,1822.0,10.0,38,13,73,7.0,True,True,True,True,Visual Exploration of Sparse Traffic Trajectory Data,128,False,,
Vis,1990,Applying space subdivision techniques to volume rendering,10.1109/VISUAL.1990.146377,150,"159, 470",C,1990,1990-10-23,W2113078208,ieee visualization,150.0,159.0,10.0,19,15,53,2.0,False,False,True,False,Applying space subdivision techniques to volume rendering,138,False,,
InfoVis,1998,Reconfigurable disc trees for visualizing large hierarchical information space,10.1109/INFVIS.1998.729555,19,"25, 149",C,1998,1998-10-19,W1589110483,ieee symposium on information visualization,19.0,25.0,7.0,10,9,57,2.0,False,True,True,False,Reconfigurable disc trees for visualizing large hierarchical information space,107,False,,
InfoVis,2005,A note on space-filling visualizations and space-filling curves,10.1109/INFVIS.2005.1532145,181,186,C,2005,2005-10-23,W2138434937,ieee symposium on information visualization,24.0,24.0,1.0,15,13,64,1.0,False,False,True,False,A note on space-filling visualizations and space-filling curves,127,False,,
VAST,2006,Monitoring Network Traffic with Radial Traffic Analyzer,10.1109/VAST.2006.261438,123,128,C,2006,2006-12-26,W2069798399,visual analytics science and technology,123.0,128.0,6.0,16,11,57,4.0,False,False,False,False,Monitoring Network Traffic with Radial Traffic Analyzer,95,False,,
Vis,2008,Extensions of Parallel Coordinates for Interactive Exploration of Large Multi-Timepoint Data Sets,10.1109/TVCG.2008.131,1436,1451,J,2008,2008-11-01,W2102495072,IEEE Transactions on Visualization and Computer Graphics,1436.0,1451.0,16.0,16,7,66,3.0,False,False,False,False,Extensions of Parallel Coordinates for Interactive Exploration of Large Multi-Timepoint Data Sets,107,False,,
VAST,2009,Proximity-based visualization of movement trace data,10.1109/VAST.2009.5332593,11,18,C,2009,2009-11-13,W2079647943,visual analytics science and technology,11.0,18.0,8.0,31,18,64,4.0,False,False,True,False,Proximity-based visualization of movement trace data,110,False,,
VAST,2010,DimStiller: Workflows for dimensional analysis and reduction,10.1109/VAST.2010.5652392,3,10,C,2010,2010-12-10,W1981325128,visual analytics science and technology,3.0,10.0,8.0,16,14,70,6.0,False,False,False,False,DimStiller: Workflows for dimensional analysis and reduction,126,False,,
VAST,2012,Visual cluster exploration of web clickstream data,10.1109/VAST.2012.6400494,3,12,C,2012,2012-10-14,W2044240216,visual analytics science and technology,3.0,12.0,10.0,23,9,72,4.0,True,True,True,True,Visual cluster exploration of web clickstream data,111,False,,
InfoVis,2014,Revisiting Bertin Matrices: New Interactions for Crafting Tabular Visualizations,10.1109/TVCG.2014.2346279,2082,2091,J,2014,2014-12-01,W2018614013,IEEE Transactions on Visualization and Computer Graphics,2082.0,2091.0,10.0,41,12,72,3.0,False,False,False,False,Revisiting Bertin Matrices: New Interactions for Crafting Tabular Visualizations,103,False,,
VAST,2014,EvoRiver: Visual Analysis of Topic Coopetition on Social Media,10.1109/TVCG.2014.2346919,1753,1762,J,2014,2014-11-06,W2009878817,IEEE Transactions on Visualization and Computer Graphics,1753.0,1762.0,10.0,38,12,80,6.0,True,True,True,True,EvoRiver: Visual Analysis of Topic Coopetition on Social Media,119,False,,
InfoVis,1998,The shape of Shakespeare: visualizing text using implicit surfaces,10.1109/INFVIS.1998.729568,121,"129, 160",C,1998,1998-10-19,W1947395582,ieee symposium on information visualization,121.0,129.0,9.0,26,11,56,3.0,False,False,True,False,The shape of Shakespeare: visualizing text using implicit surfaces,92,False,,
Vis,1998,Feature comparisons of vector fields using Earth mover's distance,10.1109/VISUAL.1998.745291,103,109,C,1998,1998-10-18,W2161834650,ieee visualization,103.0,109.0,7.0,16,13,52,3.0,False,False,True,False,Feature comparisons of vector fields using Earth mover's distance,97,False,,
Vis,1998,Eliminating popping artifacts in sheet buffer-based splatting,10.1109/VISUAL.1998.745309,239,245,C,1998,1998-10-18,W2119752738,ieee visualization,239.0,245.0,7.0,27,8,52,2.0,False,False,True,False,Eliminating popping artifacts in sheet buffer-based splatting,140,False,,
InfoVis,2000,Visualizing sequential patterns for text mining,10.1109/INFVIS.2000.885097,105,111,C,2000,2000-10-09,W2143079781,ieee symposium on information visualization,105.0,111.0,7.0,15,14,56,5.0,False,False,True,False,Visualizing sequential patterns for text mining,109,False,,
Vis,2001,Salient iso-surface detection with model-independent statistical signatures,10.1109/VISUAL.2001.964516,231,238,C,2001,2001-10-21,W2544794140,ieee visualization,231.0,238.0,8.0,14,9,56,3.0,False,False,True,False,Salient iso-surface detection with model-independent statistical signatures,95,False,,
InfoVis,2002,A space-optimized tree visualization,10.1109/INFVIS.2002.1173152,85,92,C,2002,2002-10-28,W2129543445,ieee symposium on information visualization,85.0,92.0,8.0,12,13,50,2.0,False,False,False,False,A space-optimized tree visualization,100,False,,
Vis,2004,Haptic display of interaction between textured models,10.1109/VISUAL.2004.37,297,304,C,2004,2004-10-10,W2018042885,ieee visualization,297.0,304.0,8.0,26,11,56,4.0,False,False,True,False,Haptic display of interaction between textured models,82,False,,
Vis,2005,Visualizing data with motion,10.1109/VISUAL.2005.1532838,527,534,C,2005,2005-11-21,W2148870222,ieee visualization,527.0,534.0,8.0,14,12,56,2.0,True,False,True,False,Visualizing data with motion,86,False,,
InfoVis,2007,Legible Cities: Focus-Dependent Multi-Resolution Visualization of Urban Relationships,10.1109/TVCG.2007.70574,1169,1175,J,2007,2007-11-01,W2145598348,IEEE Transactions on Visualization and Computer Graphics,1169.0,1175.0,7.0,24,14,62,5.0,False,False,True,False,Legible Cities: Focus-Dependent Multi-Resolution Visualization of Urban Relationships,88,False,,
InfoVis,2008,HiPP: A Novel Hierarchical Point Placement Strategy and its Application to the Exploration of Document Collections,10.1109/TVCG.2008.138,1229,1236,J,2008,2008-11-01,W2105535124,IEEE Transactions on Visualization and Computer Graphics,1229.0,1236.0,8.0,23,11,72,2.0,False,False,False,False,HiPP: A Novel Hierarchical Point Placement Strategy and its Application to the Exploration of Document Collections,115,False,,
Vis,2009,Scalable and Interactive Segmentation and Visualization of Neural Processes in EM Datasets,10.1109/TVCG.2009.178,1505,1514,J,2009,2009-11-01,W2171233110,IEEE Transactions on Visualization and Computer Graphics,1505.0,1514.0,10.0,31,13,59,6.0,True,True,True,True,Scalable and Interactive Segmentation and Visualization of Neural Processes in EM Datasets,87,False,,
Vis,2010,Supine and Prone Colon Registration Using Quasi-Conformal Mapping,10.1109/TVCG.2010.200,1348,1357,J,2010,2010-11-01,W2098942126,IEEE Transactions on Visualization and Computer Graphics,1348.0,1357.0,10.0,38,8,68,5.0,False,False,True,False,Supine and Prone Colon Registration Using Quasi-Conformal Mapping,92,False,,
InfoVis,2011,Asymmetric Relations in Longitudinal Social Networks,10.1109/TVCG.2011.169,2283,2290,J,2011,2011-12-01,W2098572691,IEEE Transactions on Visualization and Computer Graphics,2283.0,2290.0,8.0,56,9,69,2.0,False,False,False,False,Asymmetric Relations in Longitudinal Social Networks,108,False,,
InfoVis,2012,Perception of Visual Variables on Tiled Wall-Sized Displays for Information Visualization Applications,10.1109/TVCG.2012.251,2516,2525,J,2012,2012-12-01,W2013060577,IEEE Transactions on Visualization and Computer Graphics,2516.0,2525.0,10.0,36,10,69,2.0,False,False,False,False,Perception of Visual Variables on Tiled Wall-Sized Displays for Information Visualization Applications,93,False,,
InfoVis,2012,SnapShot: Visualization to Propel Ice Hockey Analytics,10.1109/TVCG.2012.263,2819,2828,J,2012,2012-12-01,W1979594474,IEEE Transactions on Visualization and Computer Graphics,2819.0,2828.0,10.0,16,9,70,4.0,True,False,True,False,SnapShot: Visualization to Propel Ice Hockey Analytics,124,False,,
InfoVis,2013,Dimension Projection Matrix/Tree: Interactive Subspace Visual Exploration and Analysis of High Dimensional Data,10.1109/TVCG.2013.150,2625,2633,J,2013,2013-12-01,W2031281270,IEEE Transactions on Visualization and Computer Graphics,2625.0,2633.0,9.0,40,12,72,4.0,False,False,False,False,Dimension Projection Matrix/Tree: Interactive Subspace Visual Exploration and Analysis of High Dimensional Data,110,False,,
VAST,2014,INFUSE: Interactive Feature Selection for Predictive Modeling of High Dimensional Data,10.1109/TVCG.2014.2346482,1614,1623,J,2014,2014-11-06,W1966087765,IEEE Transactions on Visualization and Computer Graphics,1614.0,1623.0,10.0,22,14,125,3.0,True,False,True,False,INFUSE: Interactive Feature Selection for Predictive Modeling of High Dimensional Data,179,False,,
Vis,1997,Controlled simplification of genus for polygonal models ,10.1109/VISUAL.1997.663909,403,410,C,1997,1997-01-01,W3141304108,ieee visualization,403.0,410.0,8.0,31,3,16,2.0,False,False,True,False,Controlled simplification of genus for polygonal models,94,False,,
Vis,1998,Selective visualization of vortices in hydrodynamic flows,10.1109/VISUAL.1998.745333,419,422,C,1998,1998-10-18,W2150797568,ieee visualization,419.0,422.0,4.0,11,11,49,5.0,True,True,True,True,Selective visualization of vortices in hydrodynamic flows,112,False,,
Vis,2001,Integrating occlusion culling with view-dependent rendering,10.1109/VISUAL.2001.964534,371,378,C,2001,2001-10-21,W2170968305,ieee visualization,371.0,378.0,8.0,42,9,48,3.0,True,True,True,True,Integrating occlusion culling with view-dependent rendering,96,False,,
Vis,2001,Computed tomography angiography: a case study of peripheral vessel investigation,10.1109/VISUAL.2001.964555,477,480,C,2001,2001-10-21,W2111298982,ieee visualization,477.0,480.0,4.0,5,15,45,6.0,True,False,False,False,Computed tomography angiography: a case study of peripheral vessel investigation,77,False,,
Vis,2002,Semotus Visum: a flexible remote visualization framework,10.1109/VISUAL.2002.1183758,61,68,C,2002,2002-10-27,W2122513521,ieee visualization,61.0,68.0,8.0,19,8,50,2.0,False,False,True,False,Semotus Visum: a flexible remote visualization framework,82,False,,
InfoVis,2005,An interactive 3D integration of parallel coordinates and star glyphs,10.1109/INFVIS.2005.1532141,149,156,C,2005,2005-10-23,W2167915891,ieee symposium on information visualization,20.0,20.0,1.0,25,10,56,3.0,False,False,False,False,An interactive 3D integration of parallel coordinates and star glyphs,120,False,,
Vis,2005,Texture-based visualization of uncertainty in flow fields,10.1109/VISUAL.2005.1532853,647,654,C,2005,2005-11-21,W2171242795,ieee visualization,647.0,654.0,8.0,24,13,64,3.0,False,False,False,False,Texture-based visualization of uncertainty in flow fields,108,False,,
